id,strategies,round,assets
0,tft,0,7
1,coop,0,6
2,tft,0,7
3,tft,0,8
4,random,0,5
5,coop,0,8
6,tft,0,8
7,tft,0,7
8,defect,0,6
9,random,0,7
10,random,0,6
11,coop,0,8
12,coop,0,5
13,coop,0,6
14,coop,0,4
15,random,0,6
16,tft,0,6
17,random,0,7
18,tft,0,9
19,coop,0,8
20,defect,0,7
21,coop,0,6
22,tft,0,5
23,random,0,6
24,tft,0,6
25,random,0,6
26,tft,0,6
27,coop,0,7
28,random,0,6
29,random,0,7
30,coop,0,9
31,random,0,6
32,coop,0,6
33,tft,0,7
34,tft,0,6
35,tft,0,8
36,random,0,8
37,tft,0,5
38,random,0,6
39,random,0,6
40,random,0,7
41,coop,0,6
42,random,0,6
43,coop,0,8
44,coop,0,8
45,coop,0,8
46,random,0,5
47,coop,0,7
48,coop,0,5
49,coop,0,10
50,tft,0,7
51,coop,0,7
52,coop,0,6
53,coop,0,6
54,coop,0,9
55,random,0,8
56,tft,0,8
57,tft,0,10
58,coop,0,6
59,coop,0,8
60,defect,0,8
61,coop,0,7
62,tft,0,7
63,defect,0,10
64,defect,0,7
65,coop,0,7
66,coop,0,8
67,coop,0,7
68,coop,0,7
69,tft,0,9
70,defect,0,7
71,tft,0,6
72,tft,0,9
73,tft,0,5
74,tft,0,8
75,tft,0,6
76,tft,0,7
77,defect,0,9
78,coop,0,6
79,coop,0,9
80,random,0,7
81,coop,0,6
82,coop,0,6
83,tft,0,7
84,tft,0,8
85,coop,0,6
86,tft,0,7
87,tft,0,8
88,defect,0,6
89,tft,0,7
90,random,0,8
91,coop,0,6
92,coop,0,7
93,random,0,6
94,tft,0,8
95,coop,0,9
96,random,0,7
97,coop,0,8
98,coop,0,6
99,random,0,6
0,tft,1,315
1,coop,1,322
2,tft,1,311
3,tft,1,324
4,random,1,407
5,coop,1,328
6,tft,1,340
7,tft,1,327
8,defect,1,524
9,random,1,421
10,random,1,410
11,coop,1,304
12,coop,1,313
13,coop,1,318
14,coop,1,348
15,random,1,424
16,tft,1,322
17,random,1,419
18,tft,1,329
19,coop,1,340
20,defect,1,529
21,coop,1,310
22,tft,1,325
23,random,1,428
24,tft,1,322
25,random,1,420
26,tft,1,330
27,coop,1,339
28,random,1,436
29,random,1,423
30,coop,1,329
31,random,1,408
32,coop,1,318
33,tft,1,327
34,tft,1,318
35,tft,1,324
36,random,1,408
37,tft,1,325
38,random,1,436
39,random,1,466
40,random,1,455
41,coop,1,322
42,random,1,418
43,coop,1,320
44,coop,1,332
45,coop,1,320
46,random,1,437
47,coop,1,319
48,coop,1,321
49,coop,1,334
50,tft,1,339
51,coop,1,327
52,coop,1,322
53,coop,1,338
54,coop,1,309
55,random,1,442
56,tft,1,328
57,tft,1,326
58,coop,1,326
59,coop,1,340
60,defect,1,526
61,coop,1,335
62,tft,1,339
63,defect,1,532
64,defect,1,533
65,coop,1,331
66,coop,1,316
67,coop,1,339
68,coop,1,331
69,tft,1,313
70,defect,1,533
71,tft,1,350
72,tft,1,349
73,tft,1,325
74,tft,1,324
75,tft,1,322
76,tft,1,327
77,defect,1,547
78,coop,1,338
79,coop,1,337
80,random,1,445
81,coop,1,314
82,coop,1,330
83,tft,1,327
84,tft,1,324
85,coop,1,318
86,tft,1,331
87,tft,1,336
88,defect,1,532
89,tft,1,323
90,random,1,438
91,coop,1,330
92,coop,1,315
93,random,1,422
94,tft,1,332
95,coop,1,329
96,random,1,415
97,coop,1,328
98,coop,1,318
99,random,1,426
0,tft,2,353
1,coop,2,342
2,tft,2,365
3,tft,2,364
4,random,2,609
5,coop,2,356
6,tft,2,376
7,tft,2,381
8,defect,2,768
9,random,2,679
10,random,2,634
11,coop,2,332
12,coop,2,329
13,coop,2,330
14,coop,2,372
15,random,2,636
16,tft,2,368
17,random,2,599
18,tft,2,375
19,coop,2,376
20,defect,2,765
21,coop,2,342
22,tft,2,369
23,random,2,624
24,tft,2,346
25,random,2,608
26,tft,2,384
27,coop,2,371
28,random,2,644
29,random,2,635
30,coop,2,353
31,random,2,598
32,coop,2,346
33,tft,2,375
34,tft,2,344
35,tft,2,384
36,random,2,596
37,tft,2,361
38,random,2,620
39,random,2,664
40,random,2,687
41,coop,2,346
42,random,2,650
43,coop,2,348
44,coop,2,364
45,coop,2,356
46,random,2,631
47,coop,2,347
48,coop,2,349
49,coop,2,362
50,tft,2,375
51,coop,2,355
52,coop,2,334
53,coop,2,358
54,coop,2,329
55,random,2,630
56,tft,2,370
57,tft,2,366
58,coop,2,362
59,coop,2,360
60,defect,2,782
61,coop,2,355
62,tft,2,375
63,defect,2,752
64,defect,2,791
65,coop,2,355
66,coop,2,348
67,coop,2,371
68,coop,2,359
69,tft,2,369
70,defect,2,783
71,tft,2,406
72,tft,2,405
73,tft,2,381
74,tft,2,356
75,tft,2,372
76,tft,2,377
77,defect,2,813
78,coop,2,346
79,coop,2,361
80,random,2,647
81,coop,2,326
82,coop,2,342
83,tft,2,369
84,tft,2,358
85,coop,2,342
86,tft,2,357
87,tft,2,362
88,defect,2,762
89,tft,2,373
90,random,2,660
91,coop,2,350
92,coop,2,327
93,random,2,650
94,tft,2,366
95,coop,2,357
96,random,2,621
97,coop,2,356
98,coop,2,338
99,random,2,632
0,tft,3,375
1,coop,3,354
2,tft,3,375
3,tft,3,392
4,random,3,731
5,coop,3,368
6,tft,3,404
7,tft,3,409
8,defect,3,930
9,random,3,873
10,random,3,770
11,coop,3,348
12,coop,3,337
13,coop,3,334
14,coop,3,380
15,random,3,786
16,tft,3,394
17,random,3,703
18,tft,3,407
19,coop,3,388
20,defect,3,971
21,coop,3,346
22,tft,3,381
23,random,3,776
24,tft,3,364
25,random,3,734
26,tft,3,410
27,coop,3,387
28,random,3,778
29,random,3,789
30,coop,3,353
31,random,3,708
32,coop,3,350
33,tft,3,385
34,tft,3,370
35,tft,3,404
