id,strategies,round,assets
0,random,0,7
1,tft,0,6
2,tft,0,6
3,tft,0,7
4,random,0,5
5,tft,0,8
6,defect,0,8
7,random,0,5
8,tft,0,7
9,coop,0,8
10,tft,0,7
11,tft,0,8
12,coop,0,4
13,defect,0,8
14,tft,0,7
15,defect,0,12
16,tft,0,8
17,random,0,7
18,tft,0,9
19,tft,0,7
20,tft,0,7
21,tft,0,7
22,coop,0,9
23,tft,0,7
24,tft,0,7
25,coop,0,7
26,tft,0,9
27,tft,0,7
28,tft,0,8
29,coop,0,6
30,tft,0,9
31,random,0,9
32,coop,0,6
33,tft,0,8
34,tft,0,9
35,coop,0,7
36,tft,0,6
37,tft,0,7
38,coop,0,6
39,tft,0,4
40,random,0,8
41,tft,0,6
42,defect,0,8
43,tft,0,6
44,coop,0,9
45,tft,0,6
46,random,0,6
47,tft,0,8
48,random,0,6
49,tft,0,6
50,tft,0,8
51,coop,0,6
52,tft,0,7
53,random,0,7
54,tft,0,6
55,defect,0,7
56,tft,0,5
57,tft,0,8
58,tft,0,6
59,random,0,5
60,tft,0,7
61,tft,0,7
62,tft,0,7
63,coop,0,6
64,tft,0,8
65,random,0,6
66,random,0,8
67,random,0,8
68,tft,0,7
69,coop,0,7
70,coop,0,6
71,random,0,7
72,tft,0,7
73,coop,0,6
74,tft,0,8
75,random,0,7
76,coop,0,7
77,coop,0,9
78,random,0,9
79,defect,0,7
80,tft,0,7
81,tft,0,5
82,random,0,9
83,random,0,7
84,random,0,4
85,random,0,7
86,random,0,7
87,tft,0,7
88,random,0,8
89,tft,0,6
90,coop,0,5
91,tft,0,8
92,coop,0,7
93,random,0,8
94,tft,0,7
95,random,0,6
96,tft,0,7
97,random,0,6
98,random,0,6
99,tft,0,7
0,random,1,435
1,tft,1,318
2,tft,1,334
3,tft,1,331
4,random,1,411
5,tft,1,336
6,defect,1,522
7,random,1,419
8,tft,1,331
9,coop,1,372
10,tft,1,315
11,tft,1,336
12,coop,1,300
13,defect,1,534
14,tft,1,319
15,defect,1,538
16,tft,1,332
17,random,1,421
18,tft,1,337
19,tft,1,323
20,tft,1,315
21,tft,1,323
22,coop,1,349
23,tft,1,327
24,tft,1,315
25,coop,1,307
26,tft,1,345
27,tft,1,323
28,tft,1,336
29,coop,1,330
30,tft,1,329
31,random,1,437
32,coop,1,334
33,tft,1,312
34,tft,1,333
35,coop,1,327
36,tft,1,342
37,tft,1,331
38,coop,1,306
39,tft,1,344
40,random,1,400
41,tft,1,318
42,defect,1,502
43,tft,1,330
44,coop,1,321
45,tft,1,310
46,random,1,410
47,tft,1,328
48,random,1,438
49,tft,1,322
50,tft,1,320
51,coop,1,330
52,tft,1,339
53,random,1,415
54,tft,1,310
55,defect,1,533
56,tft,1,325
57,tft,1,340
58,tft,1,338
59,random,1,421
60,tft,1,327
61,tft,1,331
62,tft,1,339
63,coop,1,322
64,tft,1,352
65,random,1,434
66,random,1,436
67,random,1,420
68,tft,1,331
69,coop,1,335
70,coop,1,326
71,random,1,447
72,tft,1,327
73,coop,1,338
74,tft,1,332
75,random,1,451
76,coop,1,323
77,coop,1,337
78,random,1,439
79,defect,1,505
80,tft,1,311
81,tft,1,329
82,random,1,423
83,random,1,431
84,random,1,446
85,random,1,429
86,random,1,427
87,tft,1,323
88,random,1,414
89,tft,1,338
90,coop,1,325
91,tft,1,328
92,coop,1,327
93,random,1,448
94,tft,1,319
95,random,1,402
96,tft,1,339
97,random,1,386
98,random,1,438
99,tft,1,331
0,random,2,629
1,tft,2,368
2,tft,2,400
3,tft,2,369
4,random,2,645
5,tft,2,364
6,defect,2,706
7,random,2,595
8,tft,2,373
9,coop,2,540
10,tft,2,367
11,tft,2,372
12,coop,2,328
13,defect,2,758
14,tft,2,351
15,defect,2,748
16,tft,2,368
17,random,2,621
18,tft,2,367
19,tft,2,361
20,tft,2,359
21,tft,2,387
22,coop,2,373
23,tft,2,399
24,tft,2,375
25,coop,2,323
26,tft,2,395
27,tft,2,377
28,tft,2,372
29,coop,2,342
30,tft,2,377
31,random,2,639
32,coop,2,386
33,tft,2,350
34,tft,2,383
35,coop,2,363
36,tft,2,394
37,tft,2,379
38,coop,2,362
39,tft,2,408
40,random,2,608
41,tft,2,386
42,defect,2,738
43,tft,2,370
44,coop,2,333
45,tft,2,352
46,random,2,620
47,tft,2,358
48,random,2,626
49,tft,2,376
50,tft,2,382
51,coop,2,378
52,tft,2,373
53,random,2,669
54,tft,2,352
55,defect,2,739
56,tft,2,375
57,tft,2,408
58,tft,2,378
59,random,2,583
60,tft,2,375
61,tft,2,403
62,tft,2,389
63,coop,2,354
64,tft,2,390
65,random,2,660
66,random,2,662
67,random,2,642
68,tft,2,381
69,coop,2,371
70,coop,2,378
71,random,2,629
72,tft,2,373
73,coop,2,362
74,tft,2,392
75,random,2,621
76,coop,2,355
77,coop,2,373
78,random,2,671
79,defect,2,691
80,tft,2,341
81,tft,2,391
82,random,2,633
83,random,2,595
84,random,2,682
85,random,2,609
86,random,2,625
87,tft,2,375
88,random,2,614
89,tft,2,380
90,coop,2,365
91,tft,2,382
92,coop,2,351
93,random,2,646
94,tft,2,389
95,random,2,648
96,tft,2,385
97,random,2,610
98,random,2,594
99,tft,2,401
0,random,3,765
1,tft,3,398
2,tft,3,410
3,tft,3,393
4,random,3,809
5,tft,3,396
6,defect,3,828
7,random,3,715
8,tft,3,383
9,coop,3,656
10,tft,3,379
11,tft,3,402
12,coop,3,340
13,defect,3,932
14,tft,3,361
15,defect,3,910
16,tft,3,382
17,random,3,765
18,tft,3,377
19,tft,3,383
20,tft,3,375
21,tft,3,415
22,coop,3,389
23,tft,3,413
24,tft,3,397
25,coop,3,339
26,tft,3,425
27,tft,3,389
28,tft,3,406
29,coop,3,354
30,tft,3,391
31,random,3,779
32,coop,3,402
33,tft,3,372
34,tft,3,409
35,coop,3,387
36,tft,3,414
37,tft,3,403
38,coop,3,370
39,tft,3,434
40,random,3,742
41,tft,3,402
42,defect,3,910
43,tft,3,390
44,coop,3,341
45,tft,3,364
46,random,3,760
47,tft,3,368
48,random,3,800
49,tft,3,390
50,tft,3,402
51,coop,3,386
52,tft,3,397
53,random,3,829
54,tft,3,370
55,defect,3,871
56,tft,3,397
57,tft,3,446
58,tft,3,400
59,random,3,715
60,tft,3,395
61,tft,3,433
62,tft,3,423
63,coop,3,366
64,tft,3,422
65,random,3,798
66,random,3,826
67,random,3,752
68,tft,3,395
69,coop,3,383
70,coop,3,398
71,random,3,773
72,tft,3,389
73,coop,3,362
74,tft,3,410
75,random,3,797
76,coop,3,359
77,coop,3,397
78,random,3,835
79,defect,3,853
80,tft,3,359
81,tft,3,431
82,random,3,759
83,random,3,725
84,random,3,818
85,random,3,731
86,random,3,791
87,tft,3,403
88,random,3,762
89,tft,3,400
90,coop,3,369
91,tft,3,412
92,coop,3,367
93,random,3,778
94,tft,3,415
95,random,3,766
96,tft,3,411
97,random,3,726
98,random,3,756
99,tft,3,431
0,random,4,877
1,tft,4,404
2,tft,4,416
3,tft,4,419
4,random,4,953
5,tft,4,412
6,defect,4,956
7,random,4,803
8,tft,4,397
9,coop,4,728
10,tft,4,397
11,tft,4,418
12,coop,4,340
13,defect,4,1088
14,tft,4,363
15,defect,4,1060
16,tft,4,394
17,random,4,849
18,tft,4,377
19,tft,4,395
20,tft,4,387
21,tft,4,429
22,coop,4,397
23,tft,4,419
24,tft,4,407
25,coop,4,351
26,tft,4,437
27,tft,4,391
28,tft,4,428
29,coop,4,362
30,tft,4,391
31,random,4,873
32,coop,4,410
33,tft,4,374
34,tft,4,419
35,coop,4,395
36,tft,4,432
37,tft,4,409
38,coop,4,378
39,tft,4,444
40,random,4,846
41,tft,4,412
42,defect,4,1056
43,tft,4,406
44,coop,4,341
45,tft,4,368
46,random,4,866
47,tft,4,378
48,random,4,924
49,tft,4,398
50,tft,4,406
51,coop,4,390
52,tft,4,407
53,random,4,957
54,tft,4,378
55,defect,4,995
56,tft,4,405
57,tft,4,458
58,tft,4,414
59,random,4,835
60,tft,4,407
61,tft,4,441
62,tft,4,431
63,coop,4,366
64,tft,4,438
65,random,4,902
66,random,4,924
67,random,4,866
68,tft,4,405
69,coop,4,387
70,coop,4,422
71,random,4,895
72,tft,4,403
73,coop,4,366
74,tft,4,420
75,random,4,907
76,coop,4,367
77,coop,4,397
78,random,4,933
79,defect,4,1007
80,tft,4,365
81,tft,4,445
82,random,4,871
83,random,4,821
84,random,4,952
85,random,4,845
86,random,4,925
87,tft,4,417
88,random,4,886
89,tft,4,408
90,coop,4,381
91,tft,4,424
92,coop,4,379
93,random,4,890
94,tft,4,421
95,random,4,860
96,tft,4,423
97,random,4,828
98,random,4,860
99,tft,4,451
0,random,5,949
1,tft,5,410
2,tft,5,416
3,tft,5,421
4,random,5,1049
5,tft,5,412
6,defect,5,1068
7,random,5,903
8,tft,5,403
9,coop,5,804
10,tft,5,403
11,tft,5,426
12,coop,5,340
13,defect,5,1216
14,tft,5,363
15,defect,5,1204
16,tft,5,394
17,random,5,943
18,tft,5,377
19,tft,5,397
20,tft,5,395
21,tft,5,435
22,coop,5,401
23,tft,5,423
24,tft,5,413
25,coop,5,359
26,tft,5,439
27,tft,5,391
28,tft,5,442
29,coop,5,366
30,tft,5,391
31,random,5,975
32,coop,5,414
33,tft,5,374
34,tft,5,421
35,coop,5,395
36,tft,5,432
37,tft,5,413
38,coop,5,378
39,tft,5,450
40,random,5,932
41,tft,5,418
42,defect,5,1194
43,tft,5,408
44,coop,5,341
45,tft,5,372
46,random,5,948
47,tft,5,378
48,random,5,1022
49,tft,5,400
50,tft,5,416
51,coop,5,390
52,tft,5,421
53,random,5,1053
54,tft,5,380
55,defect,5,1115
56,tft,5,413
57,tft,5,460
58,tft,5,414
59,random,5,925
60,tft,5,409
61,tft,5,441
62,tft,5,437
63,coop,5,366
64,tft,5,442
65,random,5,994
66,random,5,1048
67,random,5,938
68,tft,5,407
69,coop,5,387
70,coop,5,422
71,random,5,977
72,tft,5,405
73,coop,5,366
74,tft,5,422
75,random,5,1009
76,coop,5,371
77,coop,5,401
78,random,5,1021
79,defect,5,1141
80,tft,5,367
81,tft,5,455
82,random,5,947
83,random,5,921
84,random,5,1048
85,random,5,939
86,random,5,1027
87,tft,5,421
88,random,5,1006
89,tft,5,414
90,coop,5,385
91,tft,5,432
92,coop,5,383
93,random,5,996
94,tft,5,425
95,random,5,938
96,tft,5,427
97,random,5,928
98,random,5,952
99,tft,5,461
0,random,6,1021
1,tft,6,410
2,tft,6,416
3,tft,6,423
4,random,6,1141
5,tft,6,412
6,defect,6,1170
7,random,6,995
8,tft,6,405
9,coop,6,868
10,tft,6,403
11,tft,6,430
12,coop,6,340
13,defect,6,1332
14,tft,6,363
15,defect,6,1334
16,tft,6,394
17,random,6,1041
18,tft,6,377
19,tft,6,397
20,tft,6,397
21,tft,6,445
22,coop,6,405
23,tft,6,425
24,tft,6,417
25,coop,6,359
26,tft,6,439
27,tft,6,391
28,tft,6,448
29,coop,6,370
30,tft,6,391
31,random,6,1087
32,coop,6,414
33,tft,6,374
34,tft,6,423
35,coop,6,395
36,tft,6,432
37,tft,6,415
38,coop,6,378
39,tft,6,456
40,random,6,1008
41,tft,6,422
42,defect,6,1312
43,tft,6,408
44,coop,6,341
45,tft,6,372
46,random,6,1024
47,tft,6,378
48,random,6,1110
49,tft,6,400
50,tft,6,420
51,coop,6,390
52,tft,6,421
53,random,6,1137
54,tft,6,380
55,defect,6,1237
56,tft,6,413
57,tft,6,462
58,tft,6,414
59,random,6,1019
60,tft,6,409
61,tft,6,441
62,tft,6,439
63,coop,6,366
64,tft,6,442
65,random,6,1076
66,random,6,1150
67,random,6,1016
68,tft,6,407
69,coop,6,391
70,coop,6,422
71,random,6,1069
72,tft,6,409
73,coop,6,370
74,tft,6,422
75,random,6,1071
76,coop,6,371
77,coop,6,401
78,random,6,1099
79,defect,6,1267
80,tft,6,369
81,tft,6,457
82,random,6,1025
83,random,6,1013
84,random,6,1138
85,random,6,1031
86,random,6,1115
87,tft,6,425
88,random,6,1076
89,tft,6,414
90,coop,6,393
91,tft,6,436
92,coop,6,391
93,random,6,1096
94,tft,6,431
95,random,6,1026
96,tft,6,427
97,random,6,1004
98,random,6,1052
99,tft,6,469
0,random,7,1103
1,tft,7,410
2,tft,7,416
3,tft,7,423
4,random,7,1221
5,tft,7,412
6,defect,7,1288
7,random,7,1077
8,tft,7,407
9,coop,7,928
10,tft,7,403
11,tft,7,440
12,coop,7,340
13,defect,7,1444
14,tft,7,363
15,defect,7,1462
16,tft,7,394
17,random,7,1129
18,tft,7,377
19,tft,7,397
20,tft,7,397
21,tft,7,449
22,coop,7,405
23,tft,7,427
24,tft,7,417
25,coop,7,359
26,tft,7,439
27,tft,7,391
28,tft,7,452
29,coop,7,374
30,tft,7,391
31,random,7,1167
32,coop,7,414
33,tft,7,374
34,tft,7,429
35,coop,7,395
36,tft,7,432
37,tft,7,415
38,coop,7,378
39,tft,7,458
40,random,7,1092
41,tft,7,422
42,defect,7,1400
43,tft,7,408
44,coop,7,341
45,tft,7,372
46,random,7,1104
47,tft,7,378
48,random,7,1196
49,tft,7,400
50,tft,7,420
51,coop,7,390
52,tft,7,421
53,random,7,1231
54,tft,7,380
55,defect,7,1351
56,tft,7,413
57,tft,7,462
58,tft,7,414
59,random,7,1105
60,tft,7,409
61,tft,7,441
62,tft,7,443
63,coop,7,366
64,tft,7,442
65,random,7,1160
66,random,7,1238
67,random,7,1088
68,tft,7,407
69,coop,7,395
70,coop,7,422
71,random,7,1163
72,tft,7,409
73,coop,7,370
74,tft,7,422
75,random,7,1171
76,coop,7,371
77,coop,7,401
78,random,7,1189
79,defect,7,1395
80,tft,7,369
81,tft,7,461
82,random,7,1091
83,random,7,1087
84,random,7,1214
85,random,7,1129
86,random,7,1189
87,tft,7,429
88,random,7,1164
89,tft,7,414
90,coop,7,397
91,tft,7,440
92,coop,7,391
93,random,7,1180
94,tft,7,433
95,random,7,1106
96,tft,7,427
97,random,7,1088
98,random,7,1140
99,tft,7,471
0,random,8,1193
1,tft,8,410
2,tft,8,416
3,tft,8,423
4,random,8,1313
5,tft,8,412
6,defect,8,1410
7,random,8,1157
8,tft,8,409
9,coop,8,992
10,tft,8,403
11,tft,8,444
12,coop,8,340
13,defect,8,1570
14,tft,8,363
15,defect,8,1574
16,tft,8,394
17,random,8,1179
18,tft,8,377
19,tft,8,397
20,tft,8,397
21,tft,8,455
22,coop,8,405
23,tft,8,427
24,tft,8,417
25,coop,8,359
26,tft,8,439
27,tft,8,391
28,tft,8,456
29,coop,8,378
30,tft,8,391
31,random,8,1273
32,coop,8,414
33,tft,8,374
34,tft,8,429
35,coop,8,395
36,tft,8,432
37,tft,8,415
38,coop,8,378
39,tft,8,458
40,random,8,1160
41,tft,8,422
42,defect,8,1500
43,tft,8,408
44,coop,8,341
45,tft,8,372
46,random,8,1196
47,tft,8,378
48,random,8,1278
49,tft,8,400
50,tft,8,420
51,coop,8,390
52,tft,8,421
53,random,8,1303
54,tft,8,380
55,defect,8,1475
56,tft,8,413
57,tft,8,462
58,tft,8,414
59,random,8,1191
60,tft,8,409
61,tft,8,441
62,tft,8,443
63,coop,8,366
64,tft,8,442
65,random,8,1260
66,random,8,1306
67,random,8,1156
68,tft,8,407
69,coop,8,395
70,coop,8,422
71,random,8,1251
72,tft,8,409
73,coop,8,370
74,tft,8,422
75,random,8,1255
76,coop,8,371
77,coop,8,401
78,random,8,1291
79,defect,8,1531
80,tft,8,369
81,tft,8,461
82,random,8,1171
83,random,8,1171
84,random,8,1298
85,random,8,1205
86,random,8,1273
87,tft,8,433
88,random,8,1226
89,tft,8,414
90,coop,8,397
91,tft,8,440
92,coop,8,395
93,random,8,1264
94,tft,8,437
95,random,8,1170
96,tft,8,427
97,random,8,1174
98,random,8,1224
99,tft,8,473
0,random,9,1251
1,tft,9,410
2,tft,9,416
3,tft,9,423
4,random,9,1401
5,tft,9,412
6,defect,9,1532
7,random,9,1257
8,tft,9,409
9,coop,9,1044
10,tft,9,403
11,tft,9,444
12,coop,9,340
13,defect,9,1664
14,tft,9,363
15,defect,9,1682
16,tft,9,394
17,random,9,1237
18,tft,9,377
19,tft,9,397
20,tft,9,397
21,tft,9,455
22,coop,9,405
23,tft,9,427
24,tft,9,417
25,coop,9,359
26,tft,9,439
27,tft,9,391
28,tft,9,460
29,coop,9,378
30,tft,9,391
31,random,9,1365
32,coop,9,414
33,tft,9,374
34,tft,9,429
35,coop,9,395
36,tft,9,432
37,tft,9,415
38,coop,9,378
39,tft,9,458
40,random,9,1222
41,tft,9,422
42,defect,9,1596
43,tft,9,408
44,coop,9,341
45,tft,9,372
46,random,9,1258
47,tft,9,378
48,random,9,1344
49,tft,9,400
50,tft,9,420
51,coop,9,390
52,tft,9,421
53,random,9,1401
54,tft,9,380
55,defect,9,1573
56,tft,9,413
57,tft,9,462
58,tft,9,414
59,random,9,1283
60,tft,9,409
61,tft,9,441
62,tft,9,443
63,coop,9,366
64,tft,9,442
65,random,9,1354
66,random,9,1392
67,random,9,1228
68,tft,9,407
69,coop,9,395
70,coop,9,422
71,random,9,1345
72,tft,9,409
73,coop,9,370
74,tft,9,422
75,random,9,1337
76,coop,9,371
77,coop,9,401
78,random,9,1369
79,defect,9,1619
80,tft,9,369
81,tft,9,461
82,random,9,1261
83,random,9,1237
84,random,9,1354
85,random,9,1281
86,random,9,1339
87,tft,9,435
88,random,9,1324
89,tft,9,414
90,coop,9,397
91,tft,9,440
92,coop,9,395
93,random,9,1336
94,tft,9,437
95,random,9,1268
96,tft,9,427
97,random,9,1264
98,random,9,1316
99,tft,9,475
0,random,10,1321
1,tft,10,410
2,tft,10,416
3,tft,10,423
4,random,10,1485
5,tft,10,412
6,defect,10,1634
7,random,10,1321
8,tft,10,409
9,coop,10,1084
10,tft,10,403
11,tft,10,444
12,coop,10,340
13,defect,10,1770
14,tft,10,363
15,defect,10,1798
16,tft,10,394
17,random,10,1307
18,tft,10,377
19,tft,10,397
20,tft,10,397
21,tft,10,455
22,coop,10,405
23,tft,10,427
24,tft,10,417
25,coop,10,359
26,tft,10,439
27,tft,10,391
28,tft,10,464
29,coop,10,378
30,tft,10,391
31,random,10,1421
32,coop,10,414
33,tft,10,374
34,tft,10,429
35,coop,10,395
36,tft,10,432
37,tft,10,415
38,coop,10,378
39,tft,10,458
40,random,10,1306
41,tft,10,422
42,defect,10,1688
43,tft,10,408
44,coop,10,341
45,tft,10,372
46,random,10,1340
47,tft,10,378
48,random,10,1418
49,tft,10,400
50,tft,10,420
51,coop,10,390
52,tft,10,421
53,random,10,1487
54,tft,10,380
55,defect,10,1679
56,tft,10,413
57,tft,10,462
58,tft,10,414
59,random,10,1357
60,tft,10,409
61,tft,10,441
62,tft,10,443
63,coop,10,366
64,tft,10,442
65,random,10,1446
66,random,10,1476
67,random,10,1314
68,tft,10,407
69,coop,10,395
70,coop,10,422
71,random,10,1437
72,tft,10,409
73,coop,10,370
74,tft,10,422
75,random,10,1421
76,coop,10,371
77,coop,10,401
78,random,10,1441
79,defect,10,1743
80,tft,10,369
81,tft,10,461
82,random,10,1339
83,random,10,1333
84,random,10,1432
85,random,10,1361
86,random,10,1415
87,tft,10,439
88,random,10,1378
89,tft,10,414
90,coop,10,397
91,tft,10,440
92,coop,10,395
93,random,10,1436
94,tft,10,437
95,random,10,1340
96,tft,10,427
97,random,10,1354
98,random,10,1394
99,tft,10,477
0,random,11,1397
1,tft,11,410
2,tft,11,416
3,tft,11,423
4,random,11,1569
5,tft,11,412
6,defect,11,1760
7,random,11,1401
8,tft,11,409
9,coop,11,1152
10,tft,11,403
11,tft,11,444
12,coop,11,340
13,defect,11,1864
14,tft,11,363
15,defect,11,1894
16,tft,11,394
17,random,11,1403
18,tft,11,377
19,tft,11,397
20,tft,11,397
21,tft,11,455
22,coop,11,405
23,tft,11,427
24,tft,11,417
25,coop,11,359
26,tft,11,439
27,tft,11,391
28,tft,11,468
29,coop,11,378
30,tft,11,391
31,random,11,1501
32,coop,11,414
33,tft,11,374
34,tft,11,429
35,coop,11,395
36,tft,11,432
37,tft,11,415
38,coop,11,378
39,tft,11,458
40,random,11,1406
41,tft,11,422
42,defect,11,1784
43,tft,11,408
44,coop,11,341
45,tft,11,372
46,random,11,1404
47,tft,11,378
48,random,11,1484
49,tft,11,400
50,tft,11,420
51,coop,11,390
52,tft,11,421
53,random,11,1585
54,tft,11,380
55,defect,11,1795
56,tft,11,413
57,tft,11,462
58,tft,11,414
59,random,11,1437
60,tft,11,409
61,tft,11,441
62,tft,11,443
63,coop,11,366
64,tft,11,442
65,random,11,1536
66,random,11,1550
67,random,11,1378
68,tft,11,407
69,coop,11,395
70,coop,11,422
71,random,11,1525
72,tft,11,409
73,coop,11,370
74,tft,11,422
75,random,11,1497
76,coop,11,371
77,coop,11,401
78,random,11,1507
79,defect,11,1867
80,tft,11,369
81,tft,11,461
82,random,11,1415
83,random,11,1415
84,random,11,1520
85,random,11,1439
86,random,11,1487
87,tft,11,443
88,random,11,1458
89,tft,11,414
90,coop,11,397
91,tft,11,440
92,coop,11,395
93,random,11,1488
94,tft,11,437
95,random,11,1414
96,tft,11,427
97,random,11,1438
98,random,11,1470
99,tft,11,477
0,random,12,1479
1,tft,12,410
2,tft,12,416
3,tft,12,423
4,random,12,1671
5,tft,12,412
6,defect,12,1866
7,random,12,1491
8,tft,12,409
9,coop,12,1208
10,tft,12,403
11,tft,12,444
12,coop,12,340
13,defect,12,1986
14,tft,12,363
15,defect,12,1990
16,tft,12,394
17,random,12,1489
18,tft,12,377
19,tft,12,397
20,tft,12,397
21,tft,12,455
22,coop,12,405
23,tft,12,427
24,tft,12,417
25,coop,12,359
26,tft,12,439
27,tft,12,391
28,tft,12,472
29,coop,12,378
30,tft,12,391
31,random,12,1569
32,coop,12,414
33,tft,12,374
34,tft,12,429
35,coop,12,395
36,tft,12,432
37,tft,12,415
38,coop,12,378
39,tft,12,458
40,random,12,1482
41,tft,12,422
42,defect,12,1884
43,tft,12,408
44,coop,12,341
45,tft,12,372
46,random,12,1482
47,tft,12,378
48,random,12,1574
49,tft,12,400
50,tft,12,420
51,coop,12,390
52,tft,12,421
53,random,12,1661
54,tft,12,380
55,defect,12,1903
56,tft,12,413
57,tft,12,462
58,tft,12,414
59,random,12,1521
60,tft,12,409
61,tft,12,441
62,tft,12,443
63,coop,12,366
64,tft,12,442
65,random,12,1612
66,random,12,1626
67,random,12,1462
68,tft,12,407
69,coop,12,395
70,coop,12,422
71,random,12,1603
72,tft,12,409
73,coop,12,370
74,tft,12,422
