"","id","strategies","round","assets"
"1",0,"coop",0,6
"2",1,"coop",0,8
"3",2,"tft",0,7
"4",3,"tft",0,6
"5",4,"random",0,8
"6",5,"random",0,7
"7",6,"coop",0,7
"8",7,"coop",0,10
"9",8,"coop",0,5
"10",9,"random",0,7
"11",10,"tft",0,9
"12",11,"random",0,5
"13",12,"random",0,6
"14",13,"tft",0,7
"15",14,"defect",0,5
"16",15,"tft",0,7
"17",16,"random",0,8
"18",17,"random",0,8
"19",18,"tft",0,6
"20",19,"coop",0,5
"21",20,"random",0,9
"22",21,"defect",0,6
"23",22,"defect",0,7
"24",23,"defect",0,8
"25",24,"random",0,7
"26",25,"random",0,6
"27",26,"coop",0,6
"28",27,"tft",0,7
"29",28,"defect",0,7
"30",29,"tft",0,6
"31",30,"tft",0,8
"32",31,"random",0,7
"33",32,"defect",0,5
"34",33,"defect",0,6
"35",34,"tft",0,9
"36",35,"tft",0,7
"37",36,"defect",0,9
"38",37,"tft",0,7
"39",38,"defect",0,8
"40",39,"coop",0,9
"41",40,"defect",0,7
"42",41,"tft",0,8
"43",42,"random",0,8
"44",43,"random",0,6
"45",44,"random",0,6
"46",45,"defect",0,6
"47",46,"random",0,6
"48",47,"coop",0,10
"49",48,"random",0,9
"50",49,"random",0,8
"51",50,"defect",0,6
"52",51,"defect",0,7
"53",52,"defect",0,5
"54",53,"tft",0,7
"55",54,"tft",0,7
"56",55,"coop",0,6
"57",56,"tft",0,6
"58",57,"tft",0,7
"59",58,"defect",0,9
"60",59,"random",0,6
"61",60,"random",0,6
"62",61,"tft",0,9
"63",62,"random",0,6
"64",63,"random",0,7
"65",64,"tft",0,8
"66",65,"tft",0,9
"67",66,"tft",0,7
"68",67,"random",0,5
"69",68,"coop",0,9
"70",69,"defect",0,5
"71",70,"random",0,7
"72",71,"defect",0,7
"73",72,"random",0,7
"74",73,"tft",0,5
"75",74,"coop",0,6
"76",75,"defect",0,8
"77",76,"random",0,8
"78",77,"tft",0,8
"79",78,"tft",0,8
"80",79,"defect",0,8
"81",80,"random",0,7
"82",81,"coop",0,6
"83",82,"tft",0,8
"84",83,"random",0,7
"85",84,"random",0,5
"86",85,"tft",0,6
"87",86,"coop",0,8
"88",87,"tft",0,8
"89",88,"coop",0,8
"90",89,"tft",0,6
"91",90,"coop",0,6
"92",91,"defect",0,7
"93",92,"coop",0,7
"94",93,"coop",0,6
"95",94,"defect",0,9
"96",95,"tft",0,6
"97",96,"coop",0,5
"98",97,"tft",0,9
"99",98,"defect",0,9
"100",99,"random",0,9
"101",0,"coop",1,258
"102",1,"coop",1,276
"103",2,"tft",1,247
"104",3,"tft",1,278
"105",4,"random",1,342
"106",5,"random",1,373
"107",6,"coop",1,259
"108",7,"coop",1,254
"109",8,"coop",1,245
"110",9,"random",1,373
"111",10,"tft",1,261
"112",11,"random",1,327
"113",12,"random",1,348
"114",13,"tft",1,263
"115",14,"defect",1,459
"116",15,"tft",1,259
"117",16,"random",1,360
"118",17,"random",1,348
"119",18,"tft",1,258
"120",19,"coop",1,253
"121",20,"random",1,329
"122",21,"defect",1,460
"123",22,"defect",1,441
"124",23,"defect",1,470
"125",24,"random",1,369
"126",25,"random",1,330
"127",26,"coop",1,238
"128",27,"tft",1,259
"129",28,"defect",1,461
"130",29,"tft",1,258
"131",30,"tft",1,260
"132",31,"random",1,345
"133",32,"defect",1,451
"134",33,"defect",1,468
"135",34,"tft",1,265
"136",35,"tft",1,263
"137",36,"defect",1,471
"138",37,"tft",1,259
"139",38,"defect",1,438
"140",39,"coop",1,253
"141",40,"defect",1,469
"142",41,"tft",1,256
"143",42,"random",1,366
"144",43,"random",1,346
"145",44,"random",1,358
"146",45,"defect",1,472
"147",46,"random",1,354
"148",47,"coop",1,258
"149",48,"random",1,363
"150",49,"random",1,368
"151",50,"defect",1,460
"152",51,"defect",1,449
"153",52,"defect",1,455
"154",53,"tft",1,255
"155",54,"tft",1,267
"156",55,"coop",1,254
"157",56,"tft",1,274
"158",57,"tft",1,267
"159",58,"defect",1,447
"160",59,"random",1,376
"161",60,"random",1,368
"162",61,"tft",1,265
"163",62,"random",1,370
"164",63,"random",1,355
"165",64,"tft",1,260
"166",65,"tft",1,273
"167",66,"tft",1,267
"168",67,"random",1,349
"169",68,"coop",1,273
"170",69,"defect",1,463
"171",70,"random",1,361
"172",71,"defect",1,469
"173",72,"random",1,373
"174",73,"tft",1,249
"175",74,"coop",1,258
"176",75,"defect",1,466
"177",76,"random",1,350
"178",77,"tft",1,260
"179",78,"tft",1,268
"180",79,"defect",1,486
"181",80,"random",1,383
"182",81,"coop",1,242
"183",82,"tft",1,256
"184",83,"random",1,341
"185",84,"random",1,369
"186",85,"tft",1,250
"187",86,"coop",1,236
"188",87,"tft",1,248
"189",88,"coop",1,264
"190",89,"tft",1,250
"191",90,"coop",1,270
"192",91,"defect",1,453
"193",92,"coop",1,255
"194",93,"coop",1,262
"195",94,"defect",1,459
"196",95,"tft",1,254
"197",96,"coop",1,245
"198",97,"tft",1,257
"199",98,"defect",1,451
"200",99,"random",1,351
"201",0,"coop",2,298
"202",1,"coop",2,292
"203",2,"tft",2,329
"204",3,"tft",2,320
"205",4,"random",2,524
"206",5,"random",2,585
"207",6,"coop",2,279
"208",7,"coop",2,286
"209",8,"coop",2,273
"210",9,"random",2,551
"211",10,"tft",2,317
"212",11,"random",2,393
"213",12,"random",2,544
"214",13,"tft",2,331
"215",14,"defect",2,709
"216",15,"tft",2,325
"217",16,"random",2,556
"218",17,"random",2,534
"219",18,"tft",2,314
"220",19,"coop",2,281
"221",20,"random",2,369
"222",21,"defect",2,702
"223",22,"defect",2,685
"224",23,"defect",2,708
"225",24,"random",2,571
"226",25,"random",2,380
"227",26,"coop",2,250
"228",27,"tft",2,319
"229",28,"defect",2,691
"230",29,"tft",2,314
"231",30,"tft",2,322
"232",31,"random",2,531
"233",32,"defect",2,705
"234",33,"defect",2,724
"235",34,"tft",2,333
"236",35,"tft",2,327
"237",36,"defect",2,713
"238",37,"tft",2,309
"239",38,"defect",2,686
"240",39,"coop",2,277
"241",40,"defect",2,719
"242",41,"tft",2,334
"243",42,"random",2,572
"244",43,"random",2,538
"245",44,"random",2,544
"246",45,"defect",2,704
"247",46,"random",2,540
"248",47,"coop",2,282
"249",48,"random",2,521
"250",49,"random",2,584
"251",50,"defect",2,684
"252",51,"defect",2,693
"253",52,"defect",2,717
"254",53,"tft",2,341
"255",54,"tft",2,327
"256",55,"coop",2,286
"257",56,"tft",2,334
"258",57,"tft",2,329
"259",58,"defect",2,651
"260",59,"random",2,560
"261",60,"random",2,598
"262",61,"tft",2,327
"263",62,"random",2,526
"264",63,"random",2,521
"265",64,"tft",2,338
"266",65,"tft",2,341
"267",66,"tft",2,323
"268",67,"random",2,579
"269",68,"coop",2,309
"270",69,"defect",2,707
"271",70,"random",2,543
"272",71,"defect",2,751
"273",72,"random",2,573
"274",73,"tft",2,311
"275",74,"coop",2,286
"276",75,"defect",2,666
"277",76,"random",2,548
"278",77,"tft",2,330
"279",78,"tft",2,326
"280",79,"defect",2,748
"281",80,"random",2,601
"282",81,"coop",2,290
"283",82,"tft",2,318
"284",83,"random",2,531
"285",84,"random",2,553
"286",85,"tft",2,300
"287",86,"coop",2,264
"288",87,"tft",2,308
"289",88,"coop",2,284
"290",89,"tft",2,308
"291",90,"coop",2,298
"292",91,"defect",2,693
"293",92,"coop",2,275
"294",93,"coop",2,286
"295",94,"defect",2,687
"296",95,"tft",2,306
"297",96,"coop",2,265
"298",97,"tft",2,313
"299",98,"defect",2,683
"300",99,"random",2,511
"301",0,"coop",3,314
"302",1,"coop",3,304
"303",2,"tft",3,361
"304",3,"tft",3,338
"305",4,"random",3,670
"306",5,"random",3,759
"307",6,"coop",3,291
"308",7,"coop",3,314
"309",8,"coop",3,289
"310",9,"random",3,667
"311",10,"tft",3,353
"312",11,"random",3,423
"313",12,"random",3,680
"314",13,"tft",3,375
"315",14,"defect",3,885
"316",15,"tft",3,345
"317",16,"random",3,714
"318",17,"random",3,658
"319",18,"tft",3,364
"320",19,"coop",3,297
"321",20,"random",3,391
"322",21,"defect",3,904
"323",22,"defect",3,883
"324",23,"defect",3,888
"325",24,"random",3,711
"326",25,"random",3,396
"327",26,"coop",3,254
"328",27,"tft",3,349
"329",28,"defect",3,883
"330",29,"tft",3,326
"331",30,"tft",3,348
"332",31,"random",3,649
"333",32,"defect",3,899
"334",33,"defect",3,928
"335",34,"tft",3,351
"336",35,"tft",3,349
"337",36,"defect",3,903
"338",37,"tft",3,325
"339",38,"defect",3,906
"340",39,"coop",3,285
"341",40,"defect",3,917
"342",41,"tft",3,360
"343",42,"random",3,736
"344",43,"random",3,690
"345",44,"random",3,692
"346",45,"defect",3,892
