id,strategies,round,assets
0,random,0,5
1,tft,0,1
2,random,0,9
3,coop,0,7
4,tft,0,6
5,tft,0,17
6,tft,0,1
7,tft,0,8
8,tft,0,25
9,random,0,9
10,tft,0,35
11,random,0,9
12,random,0,22
13,random,0,4
14,random,0,9
15,random,0,0
16,tft,0,32
17,tft,0,59
18,tft,0,0
19,defect,0,86
20,random,0,19
21,defect,0,6
22,tft,0,3
23,coop,0,0
24,random,0,9
25,coop,0,5
26,coop,0,5
27,tft,0,14
28,tft,0,155
29,tft,0,3
30,tft,0,3
31,tft,0,23
32,tft,0,8
33,defect,0,0
34,tft,0,17
35,coop,0,10
36,coop,0,5
37,random,0,209
38,tft,0,6
39,coop,0,2
40,coop,0,60
41,tft,0,14
42,tft,0,4
43,tft,0,11
44,tft,0,23
45,tft,0,9
46,tft,0,2
47,tft,0,36
48,random,0,5
49,defect,0,1
50,tft,0,11
51,tft,0,9
52,tft,0,2
53,tft,0,9
54,tft,0,48
55,defect,0,160
56,tft,0,1
57,defect,0,11
58,tft,0,38
59,tft,0,4
60,random,0,67
61,random,0,5
62,coop,0,2
63,defect,0,0
64,tft,0,1
65,tft,0,5
66,tft,0,4
67,random,0,1
68,tft,0,39
69,tft,0,7
70,defect,0,12
71,tft,0,19
72,tft,0,15
73,tft,0,3
74,tft,0,95
75,defect,0,78
76,coop,0,8
77,coop,0,14
78,tft,0,0
79,random,0,0
80,coop,0,0
81,tft,0,1
82,coop,0,11
83,defect,0,16
84,tft,0,115
85,coop,0,23
86,tft,0,44
87,random,0,3
88,random,0,22
89,random,0,1
90,random,0,40
91,tft,0,0
92,tft,0,39
93,random,0,1
94,random,0,76
95,tft,0,9
96,tft,0,86
97,tft,0,3
98,tft,0,12
99,coop,0,1
0,random,1,411
1,tft,1,309
2,random,1,415
3,coop,1,327
4,tft,1,314
5,tft,1,341
6,tft,1,313
7,tft,1,328
8,tft,1,333
9,random,1,433
10,tft,1,363
11,random,1,431
12,random,1,416
13,random,1,410
14,random,1,411
15,random,1,402
16,tft,1,336
17,tft,1,359
18,tft,1,316
19,defect,1,604
20,random,1,437
21,defect,1,528
22,tft,1,307
23,coop,1,308
24,random,1,409
