id,strategies,round,assets
0,coop,0,5
1,defect,0,9
2,random,0,7
3,random,0,8
4,tft,0,5
5,random,0,12
6,defect,0,6
7,tft,0,4
8,defect,0,18
9,random,0,12
10,coop,0,3
11,tft,0,441
12,tft,0,4
13,tft,0,0
14,defect,0,40
15,tft,0,34
16,tft,0,8
17,tft,0,85
18,defect,0,20
19,defect,0,31
20,coop,0,26
21,coop,0,1
22,tft,0,36
23,tft,0,0
24,tft,0,7
25,defect,0,0
26,tft,0,129
27,random,0,1
28,defect,0,0
29,defect,0,5
30,tft,0,3
31,random,0,8
32,random,0,56
33,tft,0,51
34,defect,0,1
35,defect,0,1
36,random,0,1
37,defect,0,0
38,tft,0,2
39,defect,0,20
40,tft,0,2
41,coop,0,0
42,defect,0,3
43,defect,0,8
44,random,0,0
45,coop,0,5
46,defect,0,13
47,tft,0,9
48,defect,0,0
49,random,0,0
50,defect,0,0
51,coop,0,27
52,random,0,5
53,coop,0,35
54,tft,0,455
55,tft,0,1
56,tft,0,3
57,random,0,45
58,coop,0,83
59,random,0,2
60,coop,0,190
61,coop,0,0
62,tft,0,1
63,defect,0,11
64,random,0,5
65,tft,0,61
66,coop,0,34
67,tft,0,64
68,tft,0,49
69,random,0,22
70,tft,0,1
71,coop,0,10
72,tft,0,206
73,random,0,869
74,tft,0,4
75,random,0,2
76,random,0,1
77,coop,0,7
78,tft,0,13
79,random,0,36
80,random,0,26
81,defect,0,6
82,random,0,54
83,random,0,415
84,random,0,2
85,coop,0,4
86,coop,0,13
87,random,0,11
88,tft,0,76
89,defect,0,0
90,random,0,2
91,random,0,4
92,tft,0,25
93,tft,0,130
94,coop,0,1
95,coop,0,116
96,tft,0,0
97,coop,0,0
98,coop,0,57
99,coop,0,9
0,coop,1,277
1,defect,1,467
2,random,1,381
3,random,1,378
4,tft,1,269
5,random,1,370
6,defect,1,476
7,tft,1,264
8,defect,1,480
9,random,1,378
10,coop,1,255
11,tft,1,701
12,tft,1,268
13,tft,1,260
14,defect,1,494
15,tft,1,314
16,tft,1,252
17,tft,1,349
18,defect,1,482
19,defect,1,481
20,coop,1,290
21,coop,1,261
22,tft,1,304
23,tft,1,264
24,tft,1,263
25,defect,1,458
26,tft,1,413
27,random,1,345
28,defect,1,450
29,defect,1,475
30,tft,1,263
31,random,1,400
32,random,1,400
33,tft,1,319
34,defect,1,463
35,defect,1,455
36,random,1,351
37,defect,1,470
38,tft,1,254
39,defect,1,458
40,tft,1,254
41,coop,1,260
42,defect,1,461
43,defect,1,466
44,random,1,364
45,coop,1,253
46,defect,1,487
47,tft,1,265
48,defect,1,458
49,random,1,348
50,defect,1,458
51,coop,1,283
52,random,1,385
53,coop,1,303
54,tft,1,731
55,tft,1,257
56,tft,1,263
57,random,1,419
58,coop,1,335
59,random,1,354
60,coop,1,454
61,coop,1,252
62,tft,1,265
63,defect,1,473
64,random,1,363
65,tft,1,313
66,coop,1,306
67,tft,1,324
68,tft,1,297
69,random,1,386
70,tft,1,253
71,coop,1,254
72,tft,1,462
73,random,1,1239
74,tft,1,260
75,random,1,366
76,random,1,387
77,coop,1,243
78,tft,1,281
79,random,1,388
80,random,1,398
81,defect,1,476
82,random,1,404
83,random,1,785
84,random,1,366
85,coop,1,248
86,coop,1,293
87,random,1,379
88,tft,1,344
89,defect,1,462
90,random,1,392
91,random,1,372
92,tft,1,273
93,tft,1,390
94,coop,1,265
95,coop,1,388
96,tft,1,252
97,coop,1,252
98,coop,1,305
99,coop,1,249
0,coop,2,309
1,defect,2,739
2,random,2,567
3,random,2,584
4,tft,2,349
5,random,2,592
6,defect,2,734
7,tft,2,332
8,defect,2,708
9,random,2,630
10,coop,2,295
11,tft,2,759
12,tft,2,330
13,tft,2,326
14,defect,2,718
15,tft,2,380
16,tft,2,330
17,tft,2,407
18,defect,2,722
19,defect,2,697
20,coop,2,310
21,coop,2,289
22,tft,2,378
23,tft,2,308
24,tft,2,347
25,defect,2,710
26,tft,2,469
27,random,2,521
28,defect,2,676
29,defect,2,685
30,tft,2,309
31,random,2,638
32,random,2,606
33,tft,2,387
34,defect,2,703
35,defect,2,669
36,random,2,537
37,defect,2,730
38,tft,2,326
39,defect,2,690
40,tft,2,336
41,coop,2,296
42,defect,2,741
43,defect,2,680
44,random,2,552
45,coop,2,289
46,defect,2,695
47,tft,2,317
48,defect,2,674
49,random,2,546
50,defect,2,690
51,coop,2,307
52,random,2,561
53,coop,2,331
54,tft,2,791
55,tft,2,311
56,tft,2,317
57,random,2,651
58,coop,2,355
59,random,2,560
60,coop,2,498
61,coop,2,264
62,tft,2,343
63,defect,2,709
64,random,2,549
65,tft,2,401
66,coop,2,318
67,tft,2,396
68,tft,2,337
69,random,2,576
70,tft,2,307
71,coop,2,270
72,tft,2,534
73,random,2,1423
74,tft,2,334
75,random,2,554
76,random,2,607
77,coop,2,271
78,tft,2,341
79,random,2,592
80,random,2,622
81,defect,2,718
82,random,2,636
83,random,2,1009
84,random,2,578
85,coop,2,284
86,coop,2,317
87,random,2,563
88,tft,2,408
89,defect,2,712
90,random,2,556
91,random,2,562
92,tft,2,345
93,tft,2,458
94,coop,2,293
95,coop,2,420
96,tft,2,320
97,coop,2,260
98,coop,2,353
99,coop,2,281
0,coop,3,337
1,defect,3,955
2,random,3,709
3,random,3,754
4,tft,3,401
5,random,3,762
6,defect,3,908
7,tft,3,368
8,defect,3,890
9,random,3,784
10,coop,3,319
11,tft,3,795
12,tft,3,372
13,tft,3,362
14,defect,3,920
15,tft,3,398
16,tft,3,352
17,tft,3,435
18,defect,3,910
19,defect,3,905
20,coop,3,322
21,coop,3,305
22,tft,3,412
23,tft,3,324
24,tft,3,391
25,defect,3,892
26,tft,3,511
27,random,3,667
28,defect,3,866
29,defect,3,867
30,tft,3,331
31,random,3,804
32,random,3,744
33,tft,3,419
34,defect,3,889
35,defect,3,809
36,random,3,665
37,defect,3,934
38,tft,3,358
39,defect,3,876
40,tft,3,380
41,coop,3,312
42,defect,3,937
43,defect,3,842
44,random,3,708
45,coop,3,305
46,defect,3,885
47,tft,3,337
48,defect,3,822
49,random,3,682
50,defect,3,868
51,coop,3,311
52,random,3,685
53,coop,3,351
54,tft,3,827
55,tft,3,341
56,tft,3,345
57,random,3,831
58,coop,3,363
59,random,3,702
60,coop,3,506
61,coop,3,272
62,tft,3,397
63,defect,3,893
64,random,3,701
65,tft,3,427
66,coop,3,338
67,tft,3,432
68,tft,3,359
69,random,3,710
70,tft,3,323
71,coop,3,306
72,tft,3,562
73,random,3,1579
74,tft,3,376
75,random,3,698
76,random,3,733
77,coop,3,279
78,tft,3,361
79,random,3,758
80,random,3,762
81,defect,3,898
82,random,3,784
83,random,3,1133
84,random,3,752
85,coop,3,296
86,coop,3,321
87,random,3,733
88,tft,3,434
89,defect,3,906
90,random,3,728
91,random,3,698
92,tft,3,371
93,tft,3,490
94,coop,3,305
95,coop,3,424
96,tft,3,344
97,coop,3,268
98,coop,3,353
99,coop,3,293
0,coop,4,353
1,defect,4,1121
2,random,4,827
3,random,4,860
4,tft,4,429
5,random,4,912
6,defect,4,1082
7,tft,4,390
8,defect,4,1056
9,random,4,898
10,coop,4,331
11,tft,4,819
12,tft,4,386
13,tft,4,382
14,defect,4,1078
15,tft,4,418
16,tft,4,378
17,tft,4,447
18,defect,4,1076
19,defect,4,1071
20,coop,4,330
21,coop,4,313
22,tft,4,426
23,tft,4,340
24,tft,4,419
25,defect,4,1040
26,tft,4,543
27,random,4,793
28,defect,4,1048
29,defect,4,1019
30,tft,4,337
31,random,4,914
32,random,4,842
33,tft,4,435
34,defect,4,1075
35,defect,4,957
36,random,4,783
37,defect,4,1088
38,tft,4,366
39,defect,4,1054
40,tft,4,398
41,coop,4,316
42,defect,4,1115
43,defect,4,978
44,random,4,804
45,coop,4,313
46,defect,4,1063
47,tft,4,341
48,defect,4,978
49,random,4,830
50,defect,4,1020
51,coop,4,315
52,random,4,801
53,coop,4,363
54,tft,4,841
55,tft,4,349
56,tft,4,359
57,random,4,963
58,coop,4,367
59,random,4,828
60,coop,4,518
61,coop,4,272
62,tft,4,423
63,defect,4,1065
64,random,4,845
65,tft,4,439
66,coop,4,342
67,tft,4,444
68,tft,4,389
69,random,4,836
70,tft,4,327
71,coop,4,322
72,tft,4,580
73,random,4,1697
74,tft,4,394
75,random,4,826
76,random,4,843
77,coop,4,283
78,tft,4,371
79,random,4,890
80,random,4,862
81,defect,4,1056
82,random,4,906
83,random,4,1247
84,random,4,862
85,coop,4,316
86,coop,4,321
87,random,4,869
88,tft,4,452
89,defect,4,1076
90,random,4,846
91,random,4,800
92,tft,4,383
93,tft,4,510
94,coop,4,309
95,coop,4,428
96,tft,4,362
97,coop,4,268
98,coop,4,353
99,coop,4,297
0,coop,5,361
1,defect,5,1281
2,random,5,929
3,random,5,980
4,tft,5,439
5,random,5,1030
6,defect,5,1214
7,tft,5,394
8,defect,5,1204
9,random,5,1000
10,coop,5,335
11,tft,5,825
12,tft,5,392
13,tft,5,394
14,defect,5,1232
15,tft,5,422
16,tft,5,388
17,tft,5,459
18,defect,5,1232
19,defect,5,1203
20,coop,5,330
21,coop,5,317
22,tft,5,434
23,tft,5,346
24,tft,5,421
25,defect,5,1174
26,tft,5,551
27,random,5,895
28,defect,5,1216
29,defect,5,1159
30,tft,5,337
31,random,5,1044
32,random,5,934
33,tft,5,441
34,defect,5,1227
35,defect,5,1085
36,random,5,859
37,defect,5,1244
38,tft,5,368
39,defect,5,1204
40,tft,5,406
41,coop,5,324
42,defect,5,1277
43,defect,5,1128
44,random,5,926
45,coop,5,317
46,defect,5,1209
47,tft,5,351
48,defect,5,1132
49,random,5,924
50,defect,5,1150
51,coop,5,315
52,random,5,911
53,coop,5,371
54,tft,5,859
55,tft,5,351
56,tft,5,365
57,random,5,1079
58,coop,5,367
59,random,5,936
60,coop,5,526
61,coop,5,276
62,tft,5,429
63,defect,5,1221
64,random,5,985
65,tft,5,455
66,coop,5,346
67,tft,5,450
68,tft,5,399
69,random,5,936
70,tft,5,327
71,coop,5,338
72,tft,5,588
73,random,5,1827
74,tft,5,406
75,random,5,936
76,random,5,935
77,coop,5,287
78,tft,5,381
79,random,5,986
80,random,5,968
81,defect,5,1186
82,random,5,1026
83,random,5,1361
84,random,5,958
85,coop,5,336
86,coop,5,325
87,random,5,983
88,tft,5,462
89,defect,5,1216
90,random,5,982
91,random,5,890
92,tft,5,391
93,tft,5,520
94,coop,5,313
95,coop,5,436
96,tft,5,368
97,coop,5,276
98,coop,5,353
99,coop,5,301
0,coop,6,365
1,defect,6,1449
2,random,6,1017
3,random,6,1104
4,tft,6,443
5,random,6,1158
6,defect,6,1342
7,tft,6,394
8,defect,6,1348
9,random,6,1122
10,coop,6,339
11,tft,6,833
12,tft,6,400
13,tft,6,394
14,defect,6,1390
15,tft,6,422
16,tft,6,394
17,tft,6,459
18,defect,6,1376
19,defect,6,1339
20,coop,6,330
21,coop,6,325
22,tft,6,440
23,tft,6,346
24,tft,6,425
25,defect,6,1310
26,tft,6,553
27,random,6,971
28,defect,6,1378
29,defect,6,1297
30,tft,6,343
31,random,6,1126
32,random,6,1042
33,tft,6,441
34,defect,6,1397
35,defect,6,1231
36,random,6,945
37,defect,6,1384
38,tft,6,368
39,defect,6,1354
40,tft,6,408
41,coop,6,324
42,defect,6,1425
43,defect,6,1266
44,random,6,1036
45,coop,6,321
46,defect,6,1357
47,tft,6,353
48,defect,6,1266
49,random,6,1028
50,defect,6,1276
51,coop,6,315
52,random,6,1019
53,coop,6,371
54,tft,6,873
55,tft,6,353
56,tft,6,365
57,random,6,1155
58,coop,6,371
59,random,6,1018
60,coop,6,526
61,coop,6,276
62,tft,6,433
63,defect,6,1377
64,random,6,1069
65,tft,6,457
66,coop,6,350
67,tft,6,452
68,tft,6,401
69,random,6,1034
70,tft,6,327
71,coop,6,338
72,tft,6,590
73,random,6,1931
74,tft,6,418
75,random,6,1032
76,random,6,1055
77,coop,6,287
78,tft,6,385
79,random,6,1086
80,random,6,1052
81,defect,6,1344
82,random,6,1136
83,random,6,1465
84,random,6,1032
85,coop,6,340
86,coop,6,325
87,random,6,1063
88,tft,6,466
89,defect,6,1342
90,random,6,1098
91,random,6,966
92,tft,6,393
93,tft,6,526
94,coop,6,313
95,coop,6,440
96,tft,6,370
97,coop,6,280
98,coop,6,353
99,coop,6,305
0,coop,7,365
1,defect,7,1593
2,random,7,1107
3,random,7,1204
4,tft,7,449
5,random,7,1246
6,defect,7,1474
7,tft,7,394
8,defect,7,1484
9,random,7,1222
10,coop,7,339
11,tft,7,833
12,tft,7,404
13,tft,7,394
14,defect,7,1536
15,tft,7,422
16,tft,7,404
17,tft,7,459
18,defect,7,1506
19,defect,7,1487
20,coop,7,330
21,coop,7,333
22,tft,7,442
23,tft,7,346
24,tft,7,433
25,defect,7,1442
26,tft,7,555
27,random,7,1071
28,defect,7,1504
29,defect,7,1423
30,tft,7,343
31,random,7,1222
32,random,7,1164
33,tft,7,441
34,defect,7,1551
35,defect,7,1371
36,random,7,1011
37,defect,7,1536
38,tft,7,368
39,defect,7,1492
40,tft,7,410
41,coop,7,328
42,defect,7,1557
43,defect,7,1422
44,random,7,1146
45,coop,7,325
46,defect,7,1489
47,tft,7,353
48,defect,7,1404
49,random,7,1120
50,defect,7,1400
51,coop,7,315
52,random,7,1101
53,coop,7,371
54,tft,7,875
55,tft,7,353
56,tft,7,365
57,random,7,1233
58,coop,7,371
59,random,7,1128
60,coop,7,526
61,coop,7,276
62,tft,7,435
63,defect,7,1523
64,random,7,1179
65,tft,7,463
66,coop,7,350
67,tft,7,452
68,tft,7,403
69,random,7,1132
70,tft,7,327
71,coop,7,342
72,tft,7,590
73,random,7,2033
74,tft,7,426
75,random,7,1118
76,random,7,1153
77,coop,7,287
78,tft,7,385
79,random,7,1196
80,random,7,1130
81,defect,7,1478
82,random,7,1230
83,random,7,1565
84,random,7,1138
85,coop,7,348
86,coop,7,325
87,random,7,1157
88,tft,7,466
89,defect,7,1466
90,random,7,1196
91,random,7,1078
92,tft,7,393
93,tft,7,526
94,coop,7,313
95,coop,7,440
96,tft,7,372
97,coop,7,280
98,coop,7,353
99,coop,7,305
0,coop,8,365
1,defect,8,1727
2,random,8,1201
3,random,8,1316
4,tft,8,449
5,random,8,1350
6,defect,8,1602
7,tft,8,394
8,defect,8,1614
9,random,8,1302
10,coop,8,339
11,tft,8,839
12,tft,8,408
13,tft,8,394
14,defect,8,1666
15,tft,8,422
16,tft,8,404
17,tft,8,459
18,defect,8,1652
19,defect,8,1601
20,coop,8,330
21,coop,8,333
22,tft,8,444
23,tft,8,346
24,tft,8,435
25,defect,8,1578
26,tft,8,557
27,random,8,1145
28,defect,8,1634
29,defect,8,1561
30,tft,8,343
31,random,8,1328
32,random,8,1256
33,tft,8,441
34,defect,8,1675
35,defect,8,1519
36,random,8,1099
37,defect,8,1678
38,tft,8,368
39,defect,8,1646
40,tft,8,410
41,coop,8,328
42,defect,8,1699
43,defect,8,1582
44,random,8,1232
45,coop,8,325
46,defect,8,1627
47,tft,8,353
48,defect,8,1534
49,random,8,1214
50,defect,8,1522
51,coop,8,315
52,random,8,1195
53,coop,8,371
54,tft,8,879
55,tft,8,353
56,tft,8,365
57,random,8,1303
58,coop,8,375
59,random,8,1254
60,coop,8,526
61,coop,8,276
62,tft,8,439
63,defect,8,1657
64,random,8,1277
65,tft,8,467
66,coop,8,350
67,tft,8,452
68,tft,8,403
69,random,8,1222
70,tft,8,327
71,coop,8,342
72,tft,8,590
73,random,8,2121
74,tft,8,430
75,random,8,1232
76,random,8,1245
77,coop,8,287
78,tft,8,385
79,random,8,1304
80,random,8,1210
81,defect,8,1606
82,random,8,1322
83,random,8,1667
84,random,8,1218
85,coop,8,348
86,coop,8,325
87,random,8,1251
88,tft,8,466
89,defect,8,1600
90,random,8,1290
91,random,8,1168
92,tft,8,393
