id,strategies,assets
0,tft,"[6, 246, 328, 358, 378, 388, 396, 400, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406]"
1,random,"[8, 310, 364, 400, 422, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436, 436]"
2,random,"[7, 329, 567, 721, 851, 953, 1063, 1161, 1235, 1299, 1383, 1477, 1563, 1631, 1691, 1767, 1825, 1883, 1951, 2023, 2091, 2159, 2203, 2269, 2321, 2391]"
3,random,"[6, 354, 514, 668, 782, 894, 978, 1056, 1142, 1226, 1308, 1396, 1476, 1574, 1678, 1772, 1842, 1920, 1982, 2052, 2124, 2212, 2276, 2358, 2430, 2518]"
4,defect,"[8, 442, 704, 892, 1048, 1182, 1320, 1444, 1578, 1718, 1842, 1968, 2088, 2218, 2324, 2450, 2600, 2730, 2856, 2958, 3068, 3186, 3298, 3402, 3510, 3614]"
5,defect,"[7, 437, 709, 927, 1107, 1269, 1397, 1517, 1665, 1799, 1933, 2047, 2167, 2271, 2401, 2505, 2613, 2741, 2849, 2945, 3057, 3141, 3245, 3331, 3425, 3507]"
6,coop,"[7, 255, 275, 287, 295, 303, 307, 311, 319, 319, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323, 323]"
7,tft,"[10, 254, 320, 364, 376, 380, 382, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384]"
8,tft,"[5, 229, 271, 295, 309, 313, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319, 319]"
9,random,"[7, 359, 587, 761, 877, 985, 1085, 1185, 1273, 1367, 1453, 1541, 1627, 1707, 1809, 1891, 1979, 2049, 2115, 2211, 2293, 2369, 2469, 2547, 2645, 2731]"
10,defect,"[9, 475, 703, 893, 1057, 1229, 1385, 1513, 1627, 1759, 1881, 1995, 2107, 2225, 2335, 2461, 2579, 2677, 2787, 2875, 2995, 3095, 3197, 3283, 3381, 3483]"
11,random,"[5, 345, 503, 655, 793, 885, 973, 1045, 1129, 1217, 1289, 1371, 1445, 1531, 1609, 1671, 1759, 1829, 1921, 1989, 2037, 2109, 2195, 2281, 2357, 2409]"
12,defect,"[6, 452, 690, 890, 1044, 1210, 1362, 1494, 1612, 1752, 1880, 2006, 2132, 2266, 2376, 2504, 2620, 2724, 2828, 2944, 3044, 3158, 3252, 3358, 3456, 3560]"
13,tft,"[7, 247, 317, 337, 355, 357, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359, 359]"
