id,strategies,round,assets
0,tft,0,4
1,tft,0,7
2,defect,0,121
3,tft,0,13
4,defect,0,270
5,coop,0,47
6,defect,0,0
7,coop,0,16
8,tft,0,3
9,defect,0,1
10,coop,0,0
11,defect,0,7
12,random,0,136
13,random,0,7
14,tft,0,3
15,tft,0,119
16,coop,0,2
17,random,0,21
18,coop,0,11
19,defect,0,90
20,tft,0,6
21,random,0,85
22,random,0,13
23,defect,0,6
24,tft,0,18
25,tft,0,7
26,tft,0,0
27,tft,0,1
28,random,0,44
29,tft,0,0
30,random,0,41
31,random,0,13
32,random,0,0
33,defect,0,95
34,coop,0,9
35,defect,0,4
36,random,0,2
37,tft,0,0
38,defect,0,5
39,tft,0,9
40,tft,0,0
41,random,0,2
42,tft,0,27
43,defect,0,14
44,random,0,6
45,tft,0,6
46,coop,0,0
47,coop,0,11
48,defect,0,3
49,tft,0,22
50,defect,0,1
51,coop,0,63
52,defect,0,3
53,defect,0,2
54,coop,0,3
55,tft,0,0
56,tft,0,3
57,random,0,42
58,coop,0,4
59,tft,0,7
60,defect,0,3
61,random,0,2
62,random,0,53
63,coop,0,6
64,random,0,0
65,coop,0,43
66,tft,0,5
67,tft,0,3
68,random,0,25
69,tft,0,18
70,random,0,18
71,coop,0,15
72,random,0,20
73,coop,0,1
74,defect,0,5
75,random,0,14
76,random,0,5
77,random,0,12
78,random,0,14
79,random,0,17
80,defect,0,1
81,coop,0,49
82,defect,0,55
83,coop,0,0
84,coop,0,6
85,coop,0,5
86,random,0,8
87,defect,0,52
88,tft,0,23
89,tft,0,5
90,defect,0,42
91,defect,0,0
92,coop,0,1
93,defect,0,42
94,defect,0,2
95,coop,0,31
96,random,0,10
97,random,0,0
98,random,0,9
99,random,0,3
0,tft,1,248
1,tft,1,259
2,defect,1,575
3,tft,1,253
4,defect,1,720
5,coop,1,303
6,defect,1,442
7,coop,1,260
8,tft,1,235
9,defect,1,443
10,coop,1,244
11,defect,1,461
12,random,1,478
13,random,1,361
14,tft,1,219
15,tft,1,359
16,coop,1,238
17,random,1,359
18,coop,1,239
19,defect,1,532
20,tft,1,262
21,random,1,427
22,random,1,353
23,defect,1,460
24,tft,1,274
25,tft,1,267
26,tft,1,244
27,tft,1,241
28,random,1,358
29,tft,1,252
30,random,1,375
31,random,1,355
32,random,1,342
33,defect,1,549
34,coop,1,257
35,defect,1,446
36,random,1,350
37,tft,1,248
38,defect,1,439
39,tft,1,245
40,tft,1,232
41,random,1,350
42,tft,1,259
43,defect,1,464
44,random,1,354
45,tft,1,278
46,coop,1,248
47,coop,1,243
48,defect,1,445
49,tft,1,254
50,defect,1,451
51,coop,1,319
52,defect,1,449
53,defect,1,440
54,coop,1,251
55,tft,1,248
56,tft,1,255
57,random,1,376
58,coop,1,264
59,tft,1,239
60,defect,1,445
61,random,1,328
62,random,1,405
63,coop,1,242
64,random,1,322
65,coop,1,275
66,tft,1,245
67,tft,1,263
68,random,1,363
69,tft,1,258
70,random,1,372
71,coop,1,243
72,random,1,354
73,coop,1,249
74,defect,1,455
75,random,1,368
76,random,1,345
77,random,1,342
78,random,1,322
79,random,1,371
80,defect,1,451
81,coop,1,281
82,defect,1,505
83,coop,1,236
84,coop,1,258
85,coop,1,249
86,random,1,368
87,defect,1,502
88,tft,1,243
89,tft,1,249
90,defect,1,464
91,defect,1,430
92,coop,1,249
93,defect,1,512
94,defect,1,472
95,coop,1,267
96,random,1,336
97,random,1,352
98,random,1,347
99,random,1,361
0,tft,2,302
1,tft,2,313
2,defect,2,809
3,tft,2,325
4,defect,2,958
5,coop,2,319
6,defect,2,648
7,coop,2,292
8,tft,2,315
9,defect,2,715
10,coop,2,276
11,defect,2,677
12,random,2,672
13,random,2,539
14,tft,2,303
15,tft,2,429
16,coop,2,286
17,random,2,563
18,coop,2,279
19,defect,2,792
20,tft,2,332
21,random,2,637
22,random,2,507
23,defect,2,702
24,tft,2,348
25,tft,2,341
26,tft,2,308
27,tft,2,311
28,random,2,404
29,tft,2,314
30,random,2,617
31,random,2,547
32,random,2,546
33,defect,2,773
34,coop,2,281
35,defect,2,704
36,random,2,550
37,tft,2,298
38,defect,2,691
39,tft,2,311
40,tft,2,312
41,random,2,550
42,tft,2,323
43,defect,2,710
44,random,2,560
45,tft,2,342
46,coop,2,256
47,coop,2,275
48,defect,2,707
49,tft,2,348
50,defect,2,713
51,coop,2,347
52,defect,2,703
53,defect,2,682
54,coop,2,283
55,tft,2,334
56,tft,2,305
57,random,2,528
58,coop,2,296
59,tft,2,311
60,defect,2,693
61,random,2,510
62,random,2,581
63,coop,2,278
64,random,2,480
65,coop,2,291
66,tft,2,301
67,tft,2,335
68,random,2,549
69,tft,2,322
70,random,2,562
71,coop,2,283
72,random,2,568
73,coop,2,293
74,defect,2,699
75,random,2,554
76,random,2,535
77,random,2,534
78,random,2,380
79,random,2,563
80,defect,2,703
81,coop,2,313
82,defect,2,761
83,coop,2,276
84,coop,2,274
85,coop,2,277
86,random,2,586
87,defect,2,736
88,tft,2,311
89,tft,2,325
90,defect,2,746
91,defect,2,684
92,coop,2,269
93,defect,2,760
94,defect,2,700
95,coop,2,299
96,random,2,516
97,random,2,558
98,random,2,579
99,random,2,545
0,tft,3,324
1,tft,3,349
2,defect,3,991
3,tft,3,371
4,defect,3,1156
5,coop,3,335
6,defect,3,832
7,coop,3,316
8,tft,3,353
9,defect,3,923
10,coop,3,288
11,defect,3,869
12,random,3,818
13,random,3,665
14,tft,3,335
15,tft,3,461
16,coop,3,298
17,random,3,701
18,coop,3,287
19,defect,3,1016
20,tft,3,368
21,random,3,785
22,random,3,665
23,defect,3,898
24,tft,3,392
25,tft,3,363
26,tft,3,338
27,tft,3,339
28,random,3,428
29,tft,3,338
30,random,3,761
31,random,3,685
32,random,3,708
33,defect,3,977
34,coop,3,297
35,defect,3,912
36,random,3,688
37,tft,3,324
38,defect,3,887
39,tft,3,339
40,tft,3,350
41,random,3,700
42,tft,3,353
43,defect,3,902
44,random,3,708
45,tft,3,374
46,coop,3,256
47,coop,3,287
48,defect,3,915
49,tft,3,382
50,defect,3,899
51,coop,3,359
52,defect,3,925
53,defect,3,860
54,coop,3,295
55,tft,3,366
56,tft,3,331
57,random,3,648
58,coop,3,304
59,tft,3,347
60,defect,3,875
61,random,3,670
62,random,3,719
63,coop,3,306
64,random,3,628
65,coop,3,303
66,tft,3,335
67,tft,3,375
68,random,3,715
69,tft,3,342
70,random,3,698
71,coop,3,319
72,random,3,736
73,coop,3,301
74,defect,3,893
75,random,3,700
76,random,3,683
77,random,3,684
78,random,3,414
79,random,3,665
80,defect,3,901
81,coop,3,321
82,defect,3,943
83,coop,3,292
84,coop,3,282
85,coop,3,285
86,random,3,756
87,defect,3,926
88,tft,3,333
89,tft,3,375
90,defect,3,956
91,defect,3,862
92,coop,3,277
93,defect,3,942
94,defect,3,882
95,coop,3,299
96,random,3,622
97,random,3,702
98,random,3,755
99,random,3,671
0,tft,4,324
1,tft,4,363
2,defect,4,1157
3,tft,4,393
4,defect,4,1344
5,coop,4,339
6,defect,4,1000
7,coop,4,320
8,tft,4,381
9,defect,4,1093
10,coop,4,292
11,defect,4,1035
12,random,4,932
13,random,4,785
14,tft,4,351
15,tft,4,483
16,coop,4,302
17,random,4,825
18,coop,4,295
19,defect,4,1186
20,tft,4,382
21,random,4,907
22,random,4,783
23,defect,4,1076
24,tft,4,408
25,tft,4,375
26,tft,4,366
27,tft,4,351
28,random,4,450
29,tft,4,346
30,random,4,909
31,random,4,807
32,random,4,866
33,defect,4,1149
34,coop,4,309
35,defect,4,1084
36,random,4,824
37,tft,4,336
38,defect,4,1077
39,tft,4,351
40,tft,4,372
41,random,4,810
42,tft,4,375
43,defect,4,1058
44,random,4,820
45,tft,4,382
46,coop,4,256
47,coop,4,291
48,defect,4,1099
49,tft,4,406
50,defect,4,1047
51,coop,4,371
52,defect,4,1103
53,defect,4,1034
54,coop,4,299
55,tft,4,374
56,tft,4,357
57,random,4,764
58,coop,4,308
59,tft,4,363
60,defect,4,1043
61,random,4,786
62,random,4,859
63,coop,4,310
64,random,4,764
65,coop,4,307
66,tft,4,347
67,tft,4,393
68,random,4,837
69,tft,4,348
70,random,4,826
71,coop,4,327
72,random,4,864
73,coop,4,305
74,defect,4,1079
75,random,4,840
76,random,4,807
77,random,4,796
78,random,4,424
79,random,4,781
80,defect,4,1065
