id,strategies,round,assets
0,random,0,4
1,coop,0,1
2,coop,0,1
3,coop,0,2
4,random,0,15
5,coop,0,9
6,coop,0,12
7,coop,0,1
8,tft,0,0
9,defect,0,30
10,defect,0,3
11,tft,0,2
12,random,0,2
13,random,0,3
14,tft,0,9
15,random,0,2
16,random,0,9
17,tft,0,24
18,tft,0,2
19,random,0,3
20,coop,0,14
21,tft,0,4
22,coop,0,8
23,random,0,73
24,tft,0,0
25,tft,0,2
26,tft,0,6
27,coop,0,11
28,tft,0,10
29,tft,0,0
30,random,0,8
31,tft,0,3
32,coop,0,6
33,coop,0,4
34,tft,0,2
35,tft,0,7
36,random,0,2
37,tft,0,10
38,defect,0,6
39,coop,0,27
40,coop,0,0
41,random,0,2
42,random,0,18
43,random,0,2
44,coop,0,38
45,random,0,11
46,coop,0,9
47,random,0,8
48,tft,0,9
49,random,0,4
50,tft,0,52
51,defect,0,10
52,defect,0,1
53,random,0,128
54,tft,0,3
55,tft,0,56
56,coop,0,13
57,defect,0,9
58,coop,0,1
59,coop,0,1
60,random,0,2
61,tft,0,0
62,random,0,3
63,coop,0,9
64,tft,0,60
65,random,0,2
66,random,0,112
67,defect,0,7
68,coop,0,12
69,tft,0,3
70,random,0,62
71,random,0,16
72,random,0,19
73,tft,0,2
74,coop,0,2
75,tft,0,0
76,tft,0,2
77,random,0,5
78,coop,0,1
79,random,0,2
80,tft,0,3
81,tft,0,0
82,coop,0,172
83,random,0,2
84,tft,0,15
85,tft,0,42
86,random,0,25
87,tft,0,292
88,random,0,8
89,coop,0,15
90,tft,0,3
91,defect,0,11
92,tft,0,1
93,random,0,11
94,tft,0,2
95,coop,0,5
96,coop,0,53
97,coop,0,1
98,coop,0,0
99,tft,0,1
0,random,1,408
1,coop,1,289
2,coop,1,317
3,coop,1,278
4,random,1,441
5,coop,1,297
6,coop,1,316
7,coop,1,309
8,tft,1,320
9,defect,1,536
10,defect,1,505
11,tft,1,290
12,random,1,406
13,random,1,421
14,tft,1,337
15,random,1,436
16,random,1,421
17,tft,1,332
18,tft,1,286
19,random,1,417
20,coop,1,314
21,tft,1,308
22,coop,1,320
23,random,1,489
24,tft,1,300
25,tft,1,314
26,tft,1,314
27,coop,1,331
28,tft,1,318
29,tft,1,316
30,random,1,438
31,tft,1,299
32,coop,1,326
33,coop,1,284
34,tft,1,298
35,tft,1,307
36,random,1,400
37,tft,1,314
38,defect,1,508
39,coop,1,323
40,coop,1,316
41,random,1,382
42,random,1,440
43,random,1,398
44,coop,1,334
45,random,1,421
46,coop,1,297
47,random,1,430
48,tft,1,293
49,random,1,400
50,tft,1,368
51,defect,1,540
52,defect,1,503
53,random,1,510
54,tft,1,303
55,tft,1,364
56,coop,1,321
57,defect,1,507
58,coop,1,297
59,coop,1,305
60,random,1,412
61,tft,1,308
62,random,1,383
63,coop,1,313
64,tft,1,360
65,random,1,404
66,random,1,534
67,defect,1,517
68,coop,1,316
69,tft,1,311
70,random,1,454
71,random,1,412
72,random,1,441
73,tft,1,310
74,coop,1,302
75,tft,1,308
76,tft,1,286
77,random,1,389
78,coop,1,309
79,random,1,384
80,tft,1,315
81,tft,1,296
82,coop,1,480
83,random,1,414
84,tft,1,319
85,tft,1,346
86,random,1,423
87,tft,1,624
88,random,1,424
89,coop,1,311
90,tft,1,307
91,defect,1,521
92,tft,1,309
93,random,1,399
94,tft,1,302
95,coop,1,277
96,coop,1,345
97,coop,1,305
98,coop,1,308
99,tft,1,301
0,random,2,628
1,coop,2,325
2,coop,2,337
3,coop,2,310
4,random,2,655
5,coop,2,337
6,coop,2,348
7,coop,2,345
8,tft,2,360
9,defect,2,792
10,defect,2,791
11,tft,2,352
12,random,2,602
13,random,2,631
14,tft,2,403
15,random,2,684
16,random,2,635
17,tft,2,388
18,tft,2,356
