id,strategies,round,assets
0,random,0,5
1,coop,0,4
2,tft,0,5
3,tft,0,18
4,random,0,20
5,defect,0,6
6,random,0,8
7,tft,0,7
8,coop,0,2
9,random,0,10
10,coop,0,6
11,defect,0,7
12,tft,0,8
13,random,0,8
14,defect,0,6
15,defect,0,7
16,random,0,6
17,coop,0,5
18,coop,0,2
19,random,0,5
20,defect,0,2
21,tft,0,10
22,tft,0,9
23,tft,0,5
24,random,0,32
25,random,0,12
26,tft,0,5
27,coop,0,28
28,tft,0,6
29,coop,0,8
30,random,0,8
31,tft,0,8
32,random,0,11
33,tft,0,5
34,coop,0,6
35,defect,0,3
36,defect,0,8
37,defect,0,5
38,random,0,5
39,random,0,4
40,tft,0,5
41,defect,0,2
42,defect,0,9
43,tft,0,9
44,defect,0,8
45,defect,0,8
46,random,0,7
47,defect,0,6
48,tft,0,8
49,defect,0,14
50,coop,0,15
51,defect,0,12
52,coop,0,10
53,tft,0,5
54,coop,0,6
55,coop,0,4
56,tft,0,21
57,random,0,20
58,defect,0,13
59,coop,0,7
60,tft,0,7
61,coop,0,5
62,random,0,6
63,coop,0,10
64,tft,0,8
65,defect,0,6
66,coop,0,19
67,tft,0,10
68,tft,0,4
69,defect,0,3
70,random,0,13
71,coop,0,6
72,tft,0,9
73,defect,0,9
74,random,0,10
75,random,0,7
76,random,0,4
77,coop,0,10
78,random,0,8
79,tft,0,3
80,tft,0,6
81,defect,0,17
82,defect,0,5
83,tft,0,22
84,defect,0,7
85,random,0,4
86,random,0,11
87,tft,0,4
88,defect,0,9
89,random,0,29
90,defect,0,6
91,random,0,8
92,tft,0,4
93,coop,0,7
94,tft,0,4
95,coop,0,9
96,random,0,31
97,defect,0,7
98,tft,0,4
99,random,0,7
0,random,1,341
1,coop,1,244
2,tft,1,229
3,tft,1,246
4,random,1,356
5,defect,1,460
6,random,1,336
7,tft,1,275
8,coop,1,250
9,random,1,340
10,coop,1,262
11,defect,1,453
12,tft,1,256
13,random,1,344
14,defect,1,452
15,defect,1,453
16,random,1,376
17,coop,1,237
18,coop,1,254
19,random,1,361
20,defect,1,456
21,tft,1,242
22,tft,1,257
23,tft,1,269
24,random,1,376
25,random,1,382
26,tft,1,249
27,coop,1,288
28,tft,1,246
29,coop,1,232
30,random,1,354
31,tft,1,236
32,random,1,347
33,tft,1,241
34,coop,1,258
35,defect,1,441
36,defect,1,454
37,defect,1,467
38,random,1,333
39,random,1,366
40,tft,1,245
41,defect,1,440
42,defect,1,455
43,tft,1,257
44,defect,1,442
45,defect,1,446
46,random,1,351
47,defect,1,452
48,tft,1,256
49,defect,1,476
50,coop,1,239
51,defect,1,466
52,coop,1,242
53,tft,1,253
54,coop,1,258
55,coop,1,244
56,tft,1,249
57,random,1,350
58,defect,1,443
59,coop,1,247
60,tft,1,255
61,coop,1,253
62,random,1,332
63,coop,1,226
64,tft,1,260
65,defect,1,456
66,coop,1,271
67,tft,1,262
68,tft,1,248
69,defect,1,445
70,random,1,365
71,coop,1,234
72,tft,1,237
73,defect,1,451
74,random,1,360
75,random,1,361
76,random,1,350
77,coop,1,262
78,random,1,334
79,tft,1,235
80,tft,1,234
81,defect,1,479
82,defect,1,447
83,tft,1,262
84,defect,1,441
85,random,1,338
86,random,1,337
87,tft,1,248
88,defect,1,459
89,random,1,371
90,defect,1,452
91,random,1,338
92,tft,1,232
93,coop,1,251
94,tft,1,244
95,coop,1,229
96,random,1,393
97,defect,1,449
98,tft,1,236
99,random,1,361
0,random,2,553
1,coop,2,280
2,tft,2,309
3,tft,2,304
4,random,2,542
5,defect,2,700
6,random,2,510
7,tft,2,351
8,coop,2,266
9,random,2,552
10,coop,2,306
11,defect,2,675
12,tft,2,340
13,random,2,540
14,defect,2,688
15,defect,2,667
16,random,2,594
17,coop,2,269
18,coop,2,302
19,random,2,563
20,defect,2,688
21,tft,2,314
22,tft,2,341
23,tft,2,343
24,random,2,584
25,random,2,566
26,tft,2,309
27,coop,2,320
28,tft,2,322
29,coop,2,252
30,random,2,546
31,tft,2,316
32,random,2,545
33,tft,2,329
34,coop,2,282
35,defect,2,697
36,defect,2,696
37,defect,2,711
38,random,2,515
39,random,2,554
40,tft,2,319
41,defect,2,654
42,defect,2,699
43,tft,2,327
44,defect,2,700
45,defect,2,676
46,random,2,555
47,defect,2,700
48,tft,2,340
49,defect,2,720
50,coop,2,287
51,defect,2,732
52,coop,2,282
53,tft,2,295
54,coop,2,278
55,coop,2,260
56,tft,2,307
57,random,2,566
58,defect,2,679
59,coop,2,263
60,tft,2,311
61,coop,2,281
62,random,2,518
63,coop,2,278
64,tft,2,342
65,defect,2,702
66,coop,2,299
67,tft,2,342
68,tft,2,316
69,defect,2,677
70,random,2,559
71,coop,2,254
72,tft,2,305
73,defect,2,729
74,random,2,534
75,random,2,559
76,random,2,554
77,coop,2,294
78,random,2,512
79,tft,2,299
80,tft,2,302
81,defect,2,705
82,defect,2,715
83,tft,2,310
84,defect,2,695
85,random,2,554
86,random,2,491
87,tft,2,306
88,defect,2,701
89,random,2,583
90,defect,2,680
91,random,2,528
92,tft,2,310
93,coop,2,291
94,tft,2,304
95,coop,2,249
96,random,2,571
97,defect,2,667
98,tft,2,310
99,random,2,533
0,random,3,675
1,coop,3,288
2,tft,3,351
3,tft,3,324
4,random,3,684
5,defect,3,912
6,random,3,618
7,tft,3,381
8,coop,3,278
9,random,3,698
10,coop,3,322
11,defect,3,875
12,tft,3,386
13,random,3,682
14,defect,3,868
15,defect,3,867
16,random,3,720
17,coop,3,293
18,coop,3,314
19,random,3,711
20,defect,3,880
21,tft,3,324
22,tft,3,375
23,tft,3,367
24,random,3,734
25,random,3,708
26,tft,3,349
27,coop,3,344
28,tft,3,356
29,coop,3,264
30,random,3,682
31,tft,3,352
32,random,3,663
33,tft,3,357
34,coop,3,298
35,defect,3,891
36,defect,3,900
37,defect,3,921
38,random,3,673
39,random,3,694
40,tft,3,343
41,defect,3,846
42,defect,3,883
43,tft,3,349
44,defect,3,894
45,defect,3,848
46,random,3,733
47,defect,3,874
48,tft,3,380
49,defect,3,926
50,coop,3,295
51,defect,3,940
52,coop,3,306
53,tft,3,317
54,coop,3,290
55,coop,3,268
56,tft,3,343
57,random,3,738
58,defect,3,881
59,coop,3,283
60,tft,3,337
61,coop,3,301
62,random,3,672
63,coop,3,294
64,tft,3,368
65,defect,3,904
66,coop,3,315
67,tft,3,382
68,tft,3,352
69,defect,3,849
70,random,3,735
71,coop,3,270
72,tft,3,337
73,defect,3,955
74,random,3,680
75,random,3,715
76,random,3,692
77,coop,3,302
78,random,3,690
79,tft,3,325
80,tft,3,330
81,defect,3,915
82,defect,3,925
83,tft,3,336
84,defect,3,911
85,random,3,702
86,random,3,617
87,tft,3,340
88,defect,3,877
89,random,3,747
90,defect,3,882
91,random,3,662
92,tft,3,350
93,coop,3,303
94,tft,3,334
95,coop,3,261
96,random,3,717
97,defect,3,839
98,tft,3,330
99,random,3,695
0,random,4,801
1,coop,4,288
2,tft,4,379
3,tft,4,340
4,random,4,802
5,defect,4,1108
6,random,4,762
7,tft,4,415
8,coop,4,278
9,random,4,840
10,coop,4,330
11,defect,4,1049
12,tft,4,414
13,random,4,790
14,defect,4,1038
15,defect,4,1045
16,random,4,828
17,coop,4,305
18,coop,4,314
19,random,4,843
20,defect,4,1048
21,tft,4,330
22,tft,4,383
23,tft,4,377
24,random,4,856
25,random,4,804
26,tft,4,367
27,coop,4,356
28,tft,4,362
29,coop,4,272
30,random,4,800
31,tft,4,366
32,random,4,755
33,tft,4,369
34,coop,4,302
35,defect,4,1077
36,defect,4,1036
37,defect,4,1107
38,random,4,815
39,random,4,824
40,tft,4,349
41,defect,4,996
42,defect,4,1065
43,tft,4,369
44,defect,4,1072
45,defect,4,1032
46,random,4,859
47,defect,4,1036
48,tft,4,402
49,defect,4,1124
50,coop,4,303
51,defect,4,1100
52,coop,4,314
53,tft,4,331
54,coop,4,290
55,coop,4,276
56,tft,4,349
57,random,4,860
58,defect,4,1057
59,coop,4,299
60,tft,4,349
61,coop,4,305
62,random,4,814
63,coop,4,306
64,tft,4,400
65,defect,4,1086
66,coop,4,319
67,tft,4,404
68,tft,4,376
69,defect,4,1011
70,random,4,847
71,coop,4,282
72,tft,4,351
73,defect,4,1115
74,random,4,788
75,random,4,849
76,random,4,824
77,coop,4,306
78,random,4,794
79,tft,4,341
80,tft,4,348
81,defect,4,1097
82,defect,4,1117
83,tft,4,346
84,defect,4,1093
85,random,4,826
86,random,4,733
87,tft,4,356
88,defect,4,1051
89,random,4,859
90,defect,4,1036
91,random,4,796
92,tft,4,366
93,coop,4,303
94,tft,4,344
95,coop,4,269
96,random,4,837
97,defect,4,987
98,tft,4,342
99,random,4,823
0,random,5,891
1,coop,5,292
2,tft,5,399
3,tft,5,346
4,random,5,922
5,defect,5,1310
6,random,5,864
7,tft,5,437
8,coop,5,278
9,random,5,962
10,coop,5,338
11,defect,5,1219
12,tft,5,420
13,random,5,918
14,defect,5,1186
15,defect,5,1217
16,random,5,930
17,coop,5,309
18,coop,5,318
19,random,5,965
20,defect,5,1190
21,tft,5,330
22,tft,5,389
23,tft,5,385
24,random,5,968
25,random,5,906
26,tft,5,371
27,coop,5,360
28,tft,5,366
29,coop,5,272
30,random,5,906
31,tft,5,374
32,random,5,835
33,tft,5,375
34,coop,5,310
35,defect,5,1259
36,defect,5,1204
37,defect,5,1295
38,random,5,895
39,random,5,928
40,tft,5,355
41,defect,5,1162
42,defect,5,1223
43,tft,5,371
44,defect,5,1242
45,defect,5,1178
46,random,5,993
47,defect,5,1210
48,tft,5,408
49,defect,5,1304
50,coop,5,311
51,defect,5,1264
52,coop,5,318
53,tft,5,345
54,coop,5,294
55,coop,5,280
56,tft,5,361
57,random,5,966
58,defect,5,1199
59,coop,5,311
60,tft,5,359
61,coop,5,305
62,random,5,904
63,coop,5,314
64,tft,5,414
65,defect,5,1244
66,coop,5,323
67,tft,5,410
68,tft,5,382
69,defect,5,1161
70,random,5,959
71,coop,5,286
72,tft,5,361
73,defect,5,1285
74,random,5,908
75,random,5,969
76,random,5,922
77,coop,5,314
78,random,5,900
79,tft,5,349
80,tft,5,360
81,defect,5,1251
82,defect,5,1261
83,tft,5,350
84,defect,5,1277
85,random,5,932
86,random,5,827
87,tft,5,368
88,defect,5,1193
89,random,5,957
90,defect,5,1190
91,random,5,916
92,tft,5,376
93,coop,5,303
94,tft,5,350
95,coop,5,273
96,random,5,955
97,defect,5,1141
98,tft,5,346
99,random,5,945
0,random,6,983
1,coop,6,296
2,tft,6,411
3,tft,6,348
4,random,6,1006
5,defect,6,1472
6,random,6,998
7,tft,6,449
8,coop,6,278
9,random,6,1064
10,coop,6,342
11,defect,6,1373
12,tft,6,420
13,random,6,1020
14,defect,6,1338
15,defect,6,1369
16,random,6,1026
17,coop,6,309
18,coop,6,318
19,random,6,1087
20,defect,6,1316
21,tft,6,330
22,tft,6,397
23,tft,6,387
24,random,6,1064
25,random,6,998
26,tft,6,373
27,coop,6,360
28,tft,6,370
29,coop,6,272
30,random,6,1006
31,tft,6,380
32,random,6,943
33,tft,6,377
34,coop,6,314
35,defect,6,1409
36,defect,6,1358
37,defect,6,1441
38,random,6,1021
39,random,6,1044
40,tft,6,357
41,defect,6,1302
42,defect,6,1375
43,tft,6,373
44,defect,6,1376
45,defect,6,1350
46,random,6,1087
47,defect,6,1358
48,tft,6,408
49,defect,6,1464
50,coop,6,315
51,defect,6,1414
52,coop,6,318
53,tft,6,349
54,coop,6,294
55,coop,6,280
56,tft,6,367
57,random,6,1070
58,defect,6,1357
59,coop,6,311
60,tft,6,359
61,coop,6,305
62,random,6,1000
63,coop,6,318
64,tft,6,422
65,defect,6,1378
66,coop,6,323
67,tft,6,410
68,tft,6,384
69,defect,6,1319
70,random,6,1063
71,coop,6,286
72,tft,6,367
73,defect,6,1423
74,random,6,986
75,random,6,1067
76,random,6,1014
77,coop,6,314
78,random,6,1016
79,tft,6,353
80,tft,6,364
81,defect,6,1397
82,defect,6,1423
83,tft,6,354
84,defect,6,1439
85,random,6,1062
86,random,6,899
87,tft,6,374
88,defect,6,1353
89,random,6,1075
90,defect,6,1336
91,random,6,1004
92,tft,6,384
93,coop,6,303
94,tft,6,352
95,coop,6,273
96,random,6,1065
97,defect,6,1299
98,tft,6,350
99,random,6,1047
0,random,7,1081
1,coop,7,300
2,tft,7,411
3,tft,7,350
4,random,7,1094
5,defect,7,1626
6,random,7,1098
7,tft,7,457
8,coop,7,282
