id,strategies,round,assets
0,random,0,2
1,coop,0,6
2,coop,0,47
3,random,0,2
4,tft,0,27
5,coop,0,0
6,coop,0,31
7,tft,0,3
8,coop,0,1
9,defect,0,7
10,random,0,29
11,coop,0,1
12,coop,0,0
13,tft,0,1
14,coop,0,3
15,tft,0,5
16,defect,0,6
17,coop,0,12
18,coop,0,42
19,defect,0,10
20,coop,0,39
21,tft,0,7
22,coop,0,3
23,coop,0,2
24,random,0,2
25,coop,0,21
26,defect,0,5
27,defect,0,7
28,random,0,9
29,coop,0,3
30,coop,0,15
31,coop,0,1
32,coop,0,4
33,defect,0,1
34,tft,0,1
35,random,0,9
36,tft,0,45
37,coop,0,4
38,coop,0,12
39,coop,0,6
40,coop,0,17
41,coop,0,2
42,coop,0,2
43,random,0,6
44,tft,0,11
45,random,0,2
46,tft,0,3
47,coop,0,28
48,coop,0,1
49,tft,0,9
50,tft,0,2
51,coop,0,3
52,defect,0,2
53,tft,0,1
54,random,0,4
55,random,0,0
56,defect,0,2
57,random,0,37
58,tft,0,15
59,random,0,3
60,tft,0,1
61,random,0,4
62,tft,0,56
63,tft,0,1
64,random,0,3
65,random,0,10
66,random,0,6
67,random,0,2
68,coop,0,14
69,random,0,4
70,tft,0,2
71,tft,0,4
72,tft,0,0
73,tft,0,1
74,coop,0,12
75,tft,0,219
76,tft,0,61
77,tft,0,24
78,coop,0,65
79,coop,0,592
80,coop,0,9
81,tft,0,27
82,coop,0,202
83,coop,0,3
84,defect,0,66
85,coop,0,19
86,random,0,87
87,coop,0,6
88,coop,0,11
89,random,0,17
90,coop,0,2
91,coop,0,88
92,tft,0,10
93,coop,0,3
94,tft,0,0
95,random,0,0
96,coop,0,9
97,tft,0,27
98,random,0,628
99,defect,0,41
0,random,1,406
1,coop,1,318
2,coop,1,355
3,random,1,424
4,tft,1,355
5,coop,1,308
6,coop,1,347
7,tft,1,299
8,coop,1,301
9,defect,1,521
10,random,1,455
11,coop,1,329
12,coop,1,320
13,tft,1,297
14,coop,1,307
15,tft,1,309
16,defect,1,508
17,coop,1,324
18,coop,1,358
19,defect,1,520
20,coop,1,339
21,tft,1,327
22,coop,1,315
23,coop,1,310
24,random,1,404
25,coop,1,325
26,defect,1,523
27,defect,1,521
28,random,1,429
29,coop,1,307
30,coop,1,331
31,coop,1,301
32,coop,1,304
33,defect,1,515
34,tft,1,297
35,random,1,443
36,tft,1,357
37,coop,1,312
38,coop,1,340
39,coop,1,310
40,coop,1,317
41,coop,1,310
42,coop,1,322
43,random,1,412
44,tft,1,327
45,random,1,422
46,tft,1,323
47,coop,1,340
48,coop,1,321
49,tft,1,321
50,tft,1,318
51,coop,1,315
52,defect,1,504
53,tft,1,297
54,random,1,398
55,random,1,438
56,defect,1,512
57,random,1,455
58,tft,1,311
59,random,1,405
60,tft,1,309
61,random,1,424
62,tft,1,388
63,tft,1,309
64,random,1,425
65,random,1,416
66,random,1,432
67,random,1,384
68,coop,1,326
69,random,1,404
70,tft,1,322
71,tft,1,320
72,tft,1,312
73,tft,1,305
74,coop,1,316
75,tft,1,527
76,tft,1,385
77,tft,1,344
78,coop,1,373
79,coop,1,896
80,coop,1,317
81,tft,1,351
82,coop,1,530
83,coop,1,307
84,defect,1,572
85,coop,1,343
86,random,1,493
87,coop,1,322
88,coop,1,319
89,random,1,455
90,coop,1,314
91,coop,1,392
92,tft,1,310
93,coop,1,315
94,tft,1,312
95,random,1,418
96,coop,1,313
97,tft,1,331
98,random,1,1062
99,defect,1,543
0,random,2,616
1,coop,2,334
2,coop,2,379
3,random,2,628
4,tft,2,383
5,coop,2,316
6,coop,2,379
7,tft,2,359
8,coop,2,317
9,defect,2,791
10,random,2,745
11,coop,2,361
12,coop,2,328
13,tft,2,359
14,coop,2,319
15,tft,2,369
16,defect,2,734
17,coop,2,344
18,coop,2,378
19,defect,2,742
20,coop,2,383
21,tft,2,365
22,coop,2,359
23,coop,2,334
24,random,2,620
25,coop,2,349
26,defect,2,801
27,defect,2,805
28,random,2,695
29,coop,2,339
30,coop,2,347
31,coop,2,337
32,coop,2,320
33,defect,2,763
34,tft,2,335
35,random,2,661
36,tft,2,415
37,coop,2,348
38,coop,2,364
39,coop,2,338
40,coop,2,329
41,coop,2,330
42,coop,2,350
43,random,2,624
44,tft,2,377
45,random,2,600
46,tft,2,369
47,coop,2,348
48,coop,2,361
49,tft,2,365
50,tft,2,386
51,coop,2,347
52,defect,2,768
53,tft,2,345
54,random,2,556
55,random,2,620
56,defect,2,806
57,random,2,669
58,tft,2,369
59,random,2,613
60,tft,2,361
61,random,2,658
62,tft,2,422
63,tft,2,355
64,random,2,621
65,random,2,646
66,random,2,654
67,random,2,616
68,coop,2,346
69,random,2,578
70,tft,2,362
71,tft,2,374
72,tft,2,360
73,tft,2,349
74,coop,2,340
75,tft,2,569
76,tft,2,443
77,tft,2,394
78,coop,2,409
79,coop,2,912
80,coop,2,337
81,tft,2,385
82,coop,2,566
83,coop,2,343
84,defect,2,790
85,coop,2,371
86,random,2,701
87,coop,2,350
88,coop,2,331
89,random,2,641
90,coop,2,350
91,coop,2,440
92,tft,2,360
93,coop,2,343
94,tft,2,352
95,random,2,620
96,coop,2,329
97,tft,2,365
98,random,2,1298
99,defect,2,847
0,random,3,748
1,coop,3,346
2,coop,3,403
3,random,3,776
4,tft,3,385
5,coop,3,324
6,coop,3,395
7,tft,3,391
8,coop,3,321
