id,strategies,round,assets
0,coop,0,6
1,coop,0,6
2,coop,0,5
3,coop,0,5
4,random,0,6
5,random,0,5
6,tft,0,8
7,tft,0,8
8,random,0,6
9,tft,0,9
10,coop,0,8
11,defect,0,7
12,coop,0,7
13,coop,0,8
14,tft,0,5
15,coop,0,8
16,coop,0,6
17,coop,0,6
18,tft,0,6
19,coop,0,4
20,coop,0,6
21,random,0,7
22,random,0,7
23,random,0,6
24,coop,0,9
25,random,0,8
26,random,0,6
27,tft,0,8
28,random,0,6
29,coop,0,8
30,random,0,7
31,random,0,10
32,coop,0,7
33,random,0,8
34,coop,0,8
35,random,0,7
36,coop,0,7
37,random,0,6
38,tft,0,8
39,random,0,9
40,coop,0,6
41,coop,0,6
42,random,0,8
43,coop,0,9
44,coop,0,6
45,coop,0,6
46,tft,0,9
47,random,0,9
48,tft,0,6
49,tft,0,7
50,coop,0,9
51,random,0,5
52,tft,0,6
53,tft,0,8
54,tft,0,8
55,random,0,7
56,random,0,9
57,tft,0,8
58,random,0,9
59,coop,0,5
60,coop,0,10
61,tft,0,8
62,tft,0,7
63,coop,0,4
64,tft,0,7
65,tft,0,6
66,tft,0,8
67,coop,0,5
68,random,0,9
69,random,0,5
70,random,0,7
71,tft,0,7
72,tft,0,7
73,coop,0,6
74,coop,0,8
75,tft,0,6
76,random,0,7
77,tft,0,7
78,random,0,8
79,coop,0,7
80,tft,0,7
81,tft,0,8
82,coop,0,5
83,coop,0,5
84,random,0,7
85,defect,0,7
86,coop,0,5
87,coop,0,6
88,tft,0,8
89,tft,0,8
90,tft,0,9
91,random,0,5
92,coop,0,7
93,tft,0,7
94,tft,0,7
95,tft,0,9
96,random,0,8
97,tft,0,10
98,tft,0,7
99,coop,0,7
0,coop,1,330
1,coop,1,326
2,coop,1,325
3,coop,1,341
4,random,1,448
5,random,1,433
6,tft,1,336
7,tft,1,328
8,random,1,438
9,tft,1,353
10,coop,1,352
11,defect,1,537
12,coop,1,339
13,coop,1,344
14,tft,1,333
15,coop,1,340
16,coop,1,346
17,coop,1,346
18,tft,1,338
19,coop,1,336
20,coop,1,342
21,random,1,455
22,random,1,429
23,random,1,416
24,coop,1,333
25,random,1,432
26,random,1,442
27,tft,1,340
28,random,1,430
29,coop,1,324
30,random,1,453
31,random,1,424
32,coop,1,319
33,random,1,440
34,coop,1,344
35,random,1,429
36,coop,1,351
37,random,1,444
38,tft,1,308
39,random,1,449
40,coop,1,330
41,coop,1,342
42,random,1,420
43,coop,1,325
44,coop,1,342
45,coop,1,314
46,tft,1,361
47,random,1,463
48,tft,1,338
49,tft,1,323
50,coop,1,321
51,random,1,433
52,tft,1,322
53,tft,1,324
54,tft,1,336
55,random,1,457
56,random,1,453
57,tft,1,360
58,random,1,431
59,coop,1,357
60,coop,1,338
61,tft,1,348
62,tft,1,363
63,coop,1,340
64,tft,1,355
65,tft,1,330
66,tft,1,332
67,coop,1,341
68,random,1,447
69,random,1,419
70,random,1,441
71,tft,1,351
72,tft,1,335
73,coop,1,334
74,coop,1,336
75,tft,1,338
76,random,1,435
77,tft,1,339
78,random,1,438
79,coop,1,331
80,tft,1,331
81,tft,1,356
82,coop,1,345
83,coop,1,333
84,random,1,427
85,defect,1,541
86,coop,1,357
87,coop,1,346
88,tft,1,328
89,tft,1,332
90,tft,1,349
91,random,1,431
92,coop,1,331
93,tft,1,339
94,tft,1,339
95,tft,1,337
96,random,1,428
97,tft,1,314
98,tft,1,331
99,coop,1,331
0,coop,2,362
1,coop,2,354
2,coop,2,357
3,coop,2,369
4,random,2,686
5,random,2,637
6,tft,2,384
7,tft,2,384
8,random,2,636
9,tft,2,417
10,coop,2,400
11,defect,2,823
12,coop,2,367
13,coop,2,360
14,tft,2,375
15,coop,2,376
16,coop,2,390
17,coop,2,370
18,tft,2,364
19,coop,2,376
20,coop,2,362
21,random,2,683
22,random,2,615
23,random,2,648
24,coop,2,381
25,random,2,654
26,random,2,674
27,tft,2,398
28,random,2,670
29,coop,2,340
30,random,2,683
31,random,2,642
32,coop,2,343
33,random,2,676
34,coop,2,384
35,random,2,685
36,coop,2,391
37,random,2,638
38,tft,2,372
39,random,2,695
40,coop,2,358
41,coop,2,362
42,random,2,640
43,coop,2,361
44,coop,2,374
45,coop,2,342
46,tft,2,405
47,random,2,683
48,tft,2,370
49,tft,2,373
50,coop,2,349
51,random,2,671
52,tft,2,374
53,tft,2,384
54,tft,2,368
55,random,2,649
56,random,2,663
57,tft,2,398
58,random,2,635
59,coop,2,385
60,coop,2,362
61,tft,2,388
62,tft,2,417
63,coop,2,360
64,tft,2,419
65,tft,2,366
66,tft,2,372
67,coop,2,373
68,random,2,673
69,random,2,633
70,random,2,697
71,tft,2,407
72,tft,2,393
73,coop,2,374
74,coop,2,372
75,tft,2,400
76,random,2,667
77,tft,2,391
78,random,2,652
79,coop,2,367
80,tft,2,377
81,tft,2,394
82,coop,2,385
83,coop,2,365
84,random,2,635
85,defect,2,831
86,coop,2,389
87,coop,2,378
88,tft,2,384
89,tft,2,366
90,tft,2,401
91,random,2,665
92,coop,2,387
93,tft,2,383
94,tft,2,379
95,tft,2,399
96,random,2,672
97,tft,2,370
98,tft,2,393
99,coop,2,347
0,coop,3,374
1,coop,3,366
2,coop,3,377
3,coop,3,377
4,random,3,854
5,random,3,765
6,tft,3,410
7,tft,3,412
8,random,3,768
9,tft,3,429
10,coop,3,420
11,defect,3,989
12,coop,3,383
13,coop,3,368
14,tft,3,401
15,coop,3,396
16,coop,3,402
17,coop,3,402
18,tft,3,374
19,coop,3,392
20,coop,3,370
21,random,3,853
22,random,3,757
23,random,3,800
24,coop,3,393
25,random,3,818
26,random,3,848
27,tft,3,434
28,random,3,832
29,coop,3,352
30,random,3,871
31,random,3,802
32,coop,3,351
33,random,3,814
34,coop,3,400
35,random,3,881
36,coop,3,423
37,random,3,768
38,tft,3,384
39,random,3,861
40,coop,3,374
41,coop,3,370
42,random,3,766
43,coop,3,373
44,coop,3,390
45,coop,3,362
46,tft,3,419
47,random,3,817
48,tft,3,396
49,tft,3,401
50,coop,3,365
51,random,3,833
52,tft,3,388
53,tft,3,404
54,tft,3,388
55,random,3,795
56,random,3,827
57,tft,3,412
58,random,3,783
59,coop,3,397
60,coop,3,374
61,tft,3,398
62,tft,3,445
63,coop,3,380
64,tft,3,447
65,tft,3,376
66,tft,3,394
67,coop,3,381
68,random,3,851
69,random,3,795
70,random,3,839
71,tft,3,437
72,tft,3,415
73,coop,3,402
74,coop,3,392
75,tft,3,432
76,random,3,815
77,tft,3,421
78,random,3,824
79,coop,3,383
80,tft,3,401
81,tft,3,402
82,coop,3,397
83,coop,3,397
84,random,3,783
85,defect,3,1043
86,coop,3,397
87,coop,3,406
88,tft,3,408
89,tft,3,382
90,tft,3,425
91,random,3,831
92,coop,3,411
93,tft,3,417
94,tft,3,393
95,tft,3,425
96,random,3,824
97,tft,3,404
98,tft,3,425
99,coop,3,367
0,coop,4,378
1,coop,4,370
2,coop,4,377
3,coop,4,381
4,random,4,938
5,random,4,865
6,tft,4,416
7,tft,4,428
8,random,4,896
9,tft,4,443
10,coop,4,436
11,defect,4,1149
12,coop,4,383
13,coop,4,372
14,tft,4,405
15,coop,4,416
16,coop,4,414
17,coop,4,410
18,tft,4,386
19,coop,4,404
20,coop,4,378
21,random,4,1013
22,random,4,867
23,random,4,942
24,coop,4,401
25,random,4,930
26,random,4,970
27,tft,4,462
28,random,4,952
29,coop,4,352
30,random,4,989
31,random,4,922
32,coop,4,359
33,random,4,954
34,coop,4,404
35,random,4,1061
36,coop,4,435
37,random,4,882
38,tft,4,390
39,random,4,967
40,coop,4,386
41,coop,4,378
42,random,4,866
43,coop,4,373
44,coop,4,402
45,coop,4,378
46,tft,4,435
47,random,4,929
48,tft,4,404
49,tft,4,409
50,coop,4,373
51,random,4,961
52,tft,4,396
53,tft,4,424
54,tft,4,394
55,random,4,907
56,random,4,959
57,tft,4,420
58,random,4,869
59,coop,4,405
60,coop,4,386
61,tft,4,410
62,tft,4,455
63,coop,4,380
64,tft,4,461
65,tft,4,380
66,tft,4,400
67,coop,4,389
68,random,4,985
69,random,4,913
70,random,4,981
71,tft,4,451
72,tft,4,427
73,coop,4,406
74,coop,4,392
75,tft,4,438
76,random,4,923
77,tft,4,441
78,random,4,912
79,coop,4,391
80,tft,4,415
81,tft,4,412
82,coop,4,405
83,coop,4,413
84,random,4,889
85,defect,4,1195
86,coop,4,397
87,coop,4,414
88,tft,4,416
89,tft,4,384
90,tft,4,441
91,random,4,957
92,coop,4,419
93,tft,4,431
94,tft,4,397
95,tft,4,437
96,random,4,924
97,tft,4,408
98,tft,4,433
99,coop,4,379
0,coop,5,378
1,coop,5,374
2,coop,5,377
3,coop,5,385
4,random,5,1062
5,random,5,941
6,tft,5,422
7,tft,5,428
8,random,5,998
9,tft,5,449
10,coop,5,440
11,defect,5,1295
12,coop,5,383
13,coop,5,376
14,tft,5,405
15,coop,5,420
16,coop,5,422
17,coop,5,414
18,tft,5,390
19,coop,5,412
20,coop,5,378
21,random,5,1113
22,random,5,957
23,random,5,1052
24,coop,5,401
25,random,5,1036
26,random,5,1058
27,tft,5,474
28,random,5,1086
29,coop,5,356
30,random,5,1099
31,random,5,1008
32,coop,5,363
33,random,5,1050
34,coop,5,412
35,random,5,1179
36,coop,5,443
37,random,5,966
38,tft,5,394
39,random,5,1087
40,coop,5,390
41,coop,5,378
42,random,5,962
43,coop,5,373
44,coop,5,402
45,coop,5,390
46,tft,5,447
47,random,5,1017
48,tft,5,412
49,tft,5,413
50,coop,5,373
51,random,5,1055
52,tft,5,396
53,tft,5,430
54,tft,5,396
55,random,5,1011
56,random,5,1055
57,tft,5,420
58,random,5,973
59,coop,5,409
60,coop,5,398
61,tft,5,416
62,tft,5,461
63,coop,5,380
64,tft,5,473
65,tft,5,386
66,tft,5,402
67,coop,5,389
68,random,5,1091
69,random,5,1025
70,random,5,1083
71,tft,5,461
72,tft,5,431
73,coop,5,410
74,coop,5,392
75,tft,5,442
76,random,5,1019
77,tft,5,451
78,random,5,1010
79,coop,5,395
80,tft,5,421
81,tft,5,416
82,coop,5,405
83,coop,5,417
84,random,5,979
85,defect,5,1301
86,coop,5,397
87,coop,5,418
88,tft,5,418
89,tft,5,384
90,tft,5,449
91,random,5,1071
92,coop,5,423
93,tft,5,437
94,tft,5,401
95,tft,5,441
96,random,5,1002
97,tft,5,408
98,tft,5,437
99,coop,5,383
0,coop,6,378
1,coop,6,374
2,coop,6,377
3,coop,6,393
4,random,6,1152
5,random,6,1027
6,tft,6,426
7,tft,6,438
8,random,6,1074
9,tft,6,451
10,coop,6,444
11,defect,6,1433
12,coop,6,387
13,coop,6,376
14,tft,6,405
15,coop,6,420
16,coop,6,422
17,coop,6,414
18,tft,6,394
19,coop,6,416
20,coop,6,378
21,random,6,1213
22,random,6,1039
23,random,6,1152
24,coop,6,405
25,random,6,1140
26,random,6,1150
27,tft,6,482
28,random,6,1180
29,coop,6,360
30,random,6,1191
31,random,6,1124
32,coop,6,363
33,random,6,1136
34,coop,6,412
35,random,6,1275
36,coop,6,447
37,random,6,1060
38,tft,6,396
39,random,6,1181
40,coop,6,390
41,coop,6,382
42,random,6,1068
43,coop,6,373
44,coop,6,406
45,coop,6,402
46,tft,6,447
