id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
27,tft,1,241,311,339,351,363,377,383,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389
28,random,44,358,404,428,450,464,464,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
29,tft,0,252,314,338,346,350,352,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
30,random,41,375,617,761,909,1055,1133,1251,1347,1437,1515,1605,1661,1757,1855,1939,2009,2087,2177,2239,2309,2383,2453,2521,2593,2665
31,random,13,355,547,685,807,927,1041,1131,1225,1309,1397,1521,1621,1713,1797,1867,1969,2047,2135,2219,2295,2359,2421,2497,2549,2607
32,random,0,342,546,708,866,980,1090,1192,1312,1412,1506,1598,1684,1738,1774,1790,1800,1806,1808,1808,1808,1808,1808,1808,1808,1808
33,defect,95,549,773,977,1149,1321,1463,1599,1715,1847,1953,2091,2213,2329,2431,2547,2649,2769,2867,2971,3067,3171,3267,3363,3455,3555
34,coop,9,257,281,297,309,313,313,313,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317
35,defect,4,446,704,912,1084,1242,1392,1528,1674,1806,1946,2084,2210,2332,2448,2584,2702,2816,2930,3044,3134,3242,3344,3470,3570,3678
36,random,2,350,550,688,824,944,1036,1144,1224,1310,1386,1456,1562,1648,1742,1806,1870,1950,2024,2100,2184,2268,2326,2392,2460,2526
37,tft,0,248,298,324,336,342,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
38,defect,5,439,691,887,1077,1223,1361,1511,1629,1751,1889,2015,2153,2283,2419,2533,2659,2779,2895,3017,3133,3241,3341,3457,3569,3657
39,tft,9,245,311,339,351,359,363,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
40,tft,0,232,312,350,372,386,396,402,406,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408
41,random,2,350,550,700,810,906,1010,1102,1220,1332,1432,1518,1618,1702,1788,1864,1974,2080,2162,2232,2312,2392,2476,2582,2654,2716
42,tft,27,259,323,353,375,385,391,393,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
43,defect,14,464,710,902,1058,1218,1360,1482,1608,1740,1878,2008,2142,2256,2382,2508,2616,2724,2820,2932,3060,3162,3276,3402,3510,3614
44,random,6,354,560,708,820,932,1044,1122,1212,1288,1376,1440,1520,1616,1700,1778,1834,1902,1966,2042,2126,2196,2262,2310,2382,2440
45,tft,6,278,342,374,382,394,398,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
46,coop,0,248,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
47,coop,11,243,275,287,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
48,defect,3,445,707,915,1099,1265,1427,1589,1759,1905,2045,2183,2313,2455,2581,2691,2807,2925,3043,3159,3267,3373,3471,3569,3657,3763
49,tft,22,254,348,382,406,426,438,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
50,defect,1,451,713,899,1047,1213,1371,1523,1685,1823,1959,2107,2243,2377,2497,2633,2755,2861,2965,3077,3189,3295,3385,3475,3577,3685
51,coop,63,319,347,359,371,375,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
52,defect,3,449,703,925,1103,1287,1447,1601,1751,1883,2027,2165,2277,2399,2511,2633,2751,2873,2983,3087,3179,3295,3389,3491,3585,3685
53,defect,2,440,682,860,1034,1202,1366,1520,1652,1804,1928,2062,2216,2368,2506,2630,2762,2890,3012,3146,3266,3386,3500,3616,3726,3836
54,coop,3,251,283,295,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
55,tft,0,248,334,366,374,386,388,390,396,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
56,tft,3,255,305,331,357,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
57,random,42,376,528,648,764,864,978,1096,1188,1282,1376,1456,1538,1628,1700,1766,1828,1912,1976,2026,2100,2184,2264,2336,2418,2514
58,coop,4,264,296,304,308,308,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
59,tft,7,239,311,347,363,371,373,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
60,defect,3,445,693,875,1043,1169,1309,1453,1577,1725,1863,1985,2111,2241,2377,2505,2625,2757,2875,2995,3093,3211,3325,3443,3565,3683
61,random,2,328,510,670,786,884,990,1092,1166,1256,1338,1426,1518,1596,1664,1754,1826,1924,1988,2054,2136,2204,2258,2314,2390,2452
62,random,53,405,581,719,859,953,1039,1117,1213,1321,1425,1503,1593,1683,1769,1841,1937,2009,2095,2191,2279,2359,2439,2501,2593,2665
63,coop,6,242,278,306,310,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
64,random,0,322,480,628,764,854,946,1052,1146,1224,1318,1392,1490,1588,1666,1726,1788,1872,1938,2002,2078,2140,2196,2268,2344,2396
65,coop,43,275,291,303,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
66,tft,5,245,301,335,347,351,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
67,tft,3,263,335,375,393,405,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
68,random,25,363,549,715,837,943,1061,1153,1257,1353,1453,1533,1623,1725,1803,1877,1971,2037,2113,2191,2251,2321,2395,2477,2525,2597
69,tft,18,258,322,342,348,352,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
70,random,18,372,562,698,826,944,1050,1132,1230,1314,1414,1510,1632,1752,1838,1928,2008,2074,2148,2244,2334,2428,2516,2614,2714,2788
71,coop,15,243,283,319,327,335,339,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343
72,random,20,354,568,736,864,978,1084,1170,1264,1354,1452,1548,1638,1722,1806,1876,1942,2026,2118,2196,2266,2340,2418,2486,2572,2652
73,coop,1,249,293,301,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
74,defect,5,455,699,893,1079,1227,1367,1483,1609,1743,1857,1999,2113,2245,2375,2489,2619,2737,2851,2977,3111,3237,3373,3493,3609,3723
75,random,14,368,554,700,840,932,1030,1120,1222,1298,1386,1478,1558,1634,1730,1812,1886,1968,2056,2128,2204,2286,2368,2436,2506,2578
76,random,5,345,535,683,807,913,1023,1155,1255,1369,1455,1555,1673,1751,1853,1951,2053,2133,2197,2271,2365,2457,2549,2607,2679,2761
77,random,12,342,534,684,796,884,984,1100,1188,1300,1386,1478,1574,1650,1708,1786,1872,1940,2002,2064,2132,2230,2292,2352,2420,2474
78,random,14,322,380,414,424,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
79,random,17,371,563,665,781,903,1015,1097,1177,1289,1391,1467,1547,1639,1715,1825,1897,1965,2053,2137,2225,2319,2403,2493,2567,2645
80,defect,1,451,703,901,1065,1215,1361,1507,1643,1785,1923,2081,2211,2349,2459,2585,2733,2869,2999,3121,3239,3343,3453,3555,3645,3747
81,coop,49,281,313,321,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
82,defect,55,505,761,943,1153,1327,1481,1623,1757,1891,2031,2163,2291,2413,2543,2677,2815,2961,3097,3227,3373,3503,3621,3741,3849,3971
83,coop,0,236,276,292,296,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
84,coop,6,258,274,282,282,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
85,coop,5,249,277,285,289,289,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293
86,random,8,368,586,756,856,962,1064,1136,1224,1314,1416,1500,1590,1682,1744,1824,1938,2010,2094,2174,2242,2304,2386,2446,2500,2588
87,defect,52,502,736,926,1124,1300,1458,1590,1740,1890,2004,2142,2276,2416,2532,2650,2780,2904,3012,3120,3228,3328,3460,3578,3680,3790
88,tft,23,243,311,333,341,351,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
89,tft,5,249,325,375,405,415,423,427,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
90,defect,42,464,746,956,1156,1314,1478,1616,1754,1878,2002,2146,2282,2418,2544,2660,2768,2866,2974,3098,3200,3302,3402,3514,3590,3694
91,defect,0,430,684,862,1014,1160,1304,1432,1562,1702,1818,1936,2046,2180,2306,2408,2526,2636,2746,2870,2982,3076,3180,3272,3388,3492
92,coop,1,249,269,277,285,289,293,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
93,defect,42,512,760,942,1112,1284,1438,1582,1714,1860,1998,2136,2282,2420,2536,2658,2774,2902,3038,3186,3310,3448,3570,3688,3810,3938
94,defect,2,472,700,882,1040,1204,1362,1512,1638,1788,1932,2076,2210,2358,2490,2606,2738,2850,2982,3102,3220,3326,3446,3562,3678,3810
95,coop,31,267,299,299,303,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
96,random,10,336,516,622,716,786,844,870,888,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892,892
97,random,0,352,558,702,808,914,996,1094,1176,1266,1346,1446,1560,1646,1728,1808,1886,1954,2024,2092,2160,2228,2304,2372,2438,2500
98,random,9,347,579,755,889,997,1111,1195,1299,1391,1479,1563,1649,1751,1845,1925,2003,2063,2131,2189,2267,2327,2387,2469,2563,2621
99,random,3,361,545,671,763,867,947,1031,1121,1203,1281,1371,1455,1541,1613,1691,1781,1859,1939,2037,2109,2169,2247,2301,2375,2445
