id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
0,tft,4,248,302,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
1,tft,7,259,313,349,363,369,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
2,defect,121,575,809,991,1157,1297,1427,1567,1715,1845,1989,2133,2257,2381,2515,2653,2773,2895,3015,3125,3247,3365,3471,3597,3703,3799
3,tft,13,253,325,371,393,405,409,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
4,defect,270,720,958,1156,1344,1506,1664,1820,1950,2082,2200,2326,2456,2582,2712,2836,2954,3060,3166,3280,3394,3506,3606,3710,3830,3942
5,coop,47,303,319,335,339,351,359,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363
6,defect,0,442,648,832,1000,1162,1316,1450,1594,1742,1886,2036,2174,2332,2480,2626,2768,2902,3044,3166,3278,3408,3524,3636,3760,3892
7,coop,16,260,292,316,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
8,tft,3,235,315,353,381,397,401,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
9,defect,1,443,715,923,1093,1261,1429,1593,1755,1899,2025,2171,2289,2421,2549,2681,2809,2945,3069,3199,3319,3463,3589,3711,3825,3945
10,coop,0,244,276,288,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
11,defect,7,461,677,869,1035,1183,1321,1453,1587,1699,1811,1935,2079,2185,2311,2437,2551,2673,2803,2933,3059,3171,3287,3399,3511,3643
12,random,136,478,672,818,932,1044,1120,1236,1356,1444,1518,1592,1680,1766,1848,1932,2008,2060,2132,2212,2282,2350,2404,2464,2530,2594
13,random,7,361,539,665,785,899,1003,1093,1183,1265,1389,1489,1579,1669,1765,1865,1939,2029,2123,2195,2269,2345,2431,2505,2597,2671
14,tft,3,219,303,335,351,361,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
15,tft,119,359,429,461,483,487,491,493,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
16,coop,2,238,286,298,302,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
17,random,21,359,563,701,825,929,1003,1087,1165,1269,1359,1437,1519,1573,1621,1643,1663,1675,1677,1681,1681,1681,1681,1681,1681,1681
18,coop,11,239,279,287,295,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
19,defect,90,532,792,1016,1186,1348,1518,1670,1778,1920,2046,2178,2298,2438,2550,2674,2790,2912,3022,3124,3234,3336,3450,3570,3674,3788
20,tft,6,262,332,368,382,392,392,398,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
21,random,85,427,637,785,907,1035,1135,1231,1331,1415,1503,1587,1671,1767,1853,1935,2015,2091,2161,2227,2293,2359,2425,2487,2567,2633
22,random,13,353,507,665,783,893,997,1091,1219,1299,1383,1479,1583,1675,1773,1895,1963,2059,2175,2249,2323,2393,2469,2557,2639,2721
23,defect,6,460,702,898,1076,1234,1408,1574,1732,1858,2002,2146,2290,2442,2576,2706,2848,2974,3104,3230,3342,3462,3586,3690,3810,3928
24,tft,18,274,348,392,408,412,414,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
25,tft,7,267,341,363,375,383,389,393,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
26,tft,0,244,308,338,366,396,408,420,428,434,440,442,444,444,444,444,444,444,444,444,444,444,444,444,444,444
