"","id","strategies","round","assets"
"1",0,"tft",0,4
"2",1,"tft",0,7
"3",2,"defect",0,121
"4",3,"tft",0,13
"5",4,"defect",0,270
"6",5,"coop",0,47
"7",6,"defect",0,0
"8",7,"coop",0,16
"9",8,"tft",0,3
"10",9,"defect",0,1
"11",10,"coop",0,0
"12",11,"defect",0,7
"13",12,"random",0,136
"14",13,"random",0,7
"15",14,"tft",0,3
"16",15,"tft",0,119
"17",16,"coop",0,2
"18",17,"random",0,21
"19",18,"coop",0,11
"20",19,"defect",0,90
"21",20,"tft",0,6
"22",21,"random",0,85
"23",22,"random",0,13
"24",23,"defect",0,6
"25",24,"tft",0,18
"26",25,"tft",0,7
"27",26,"tft",0,0
"28",27,"tft",0,1
"29",28,"random",0,44
"30",29,"tft",0,0
"31",30,"random",0,41
"32",31,"random",0,13
"33",32,"random",0,0
"34",33,"defect",0,95
"35",34,"coop",0,9
"36",35,"defect",0,4
"37",36,"random",0,2
"38",37,"tft",0,0
"39",38,"defect",0,5
"40",39,"tft",0,9
"41",40,"tft",0,0
"42",41,"random",0,2
"43",42,"tft",0,27
"44",43,"defect",0,14
"45",44,"random",0,6
"46",45,"tft",0,6
"47",46,"coop",0,0
"48",47,"coop",0,11
"49",48,"defect",0,3
"50",49,"tft",0,22
"51",50,"defect",0,1
"52",51,"coop",0,63
"53",52,"defect",0,3
"54",53,"defect",0,2
"55",54,"coop",0,3
"56",55,"tft",0,0
"57",56,"tft",0,3
"58",57,"random",0,42
"59",58,"coop",0,4
"60",59,"tft",0,7
"61",60,"defect",0,3
"62",61,"random",0,2
"63",62,"random",0,53
"64",63,"coop",0,6
"65",64,"random",0,0
"66",65,"coop",0,43
"67",66,"tft",0,5
"68",67,"tft",0,3
"69",68,"random",0,25
"70",69,"tft",0,18
"71",70,"random",0,18
"72",71,"coop",0,15
"73",72,"random",0,20
"74",73,"coop",0,1
"75",74,"defect",0,5
"76",75,"random",0,14
"77",76,"random",0,5
"78",77,"random",0,12
"79",78,"random",0,14
"80",79,"random",0,17
"81",80,"defect",0,1
"82",81,"coop",0,49
"83",82,"defect",0,55
"84",83,"coop",0,0
"85",84,"coop",0,6
"86",85,"coop",0,5
"87",86,"random",0,8
"88",87,"defect",0,52
"89",88,"tft",0,23
"90",89,"tft",0,5
"91",90,"defect",0,42
"92",91,"defect",0,0
"93",92,"coop",0,1
"94",93,"defect",0,42
"95",94,"defect",0,2
"96",95,"coop",0,31
"97",96,"random",0,10
"98",97,"random",0,0
"99",98,"random",0,9
"100",99,"random",0,3
"101",0,"tft",1,248
"102",1,"tft",1,259
"103",2,"defect",1,575
"104",3,"tft",1,253
"105",4,"defect",1,720
"106",5,"coop",1,303
"107",6,"defect",1,442
"108",7,"coop",1,260
"109",8,"tft",1,235
"110",9,"defect",1,443
"111",10,"coop",1,244
"112",11,"defect",1,461
"113",12,"random",1,478
"114",13,"random",1,361
"115",14,"tft",1,219
"116",15,"tft",1,359
"117",16,"coop",1,238
"118",17,"random",1,359
"119",18,"coop",1,239
"120",19,"defect",1,532
"121",20,"tft",1,262
"122",21,"random",1,427
"123",22,"random",1,353
"124",23,"defect",1,460
"125",24,"tft",1,274
"126",25,"tft",1,267
"127",26,"tft",1,244
"128",27,"tft",1,241
"129",28,"random",1,358
"130",29,"tft",1,252
"131",30,"random",1,375
"132",31,"random",1,355
"133",32,"random",1,342
"134",33,"defect",1,549
"135",34,"coop",1,257
"136",35,"defect",1,446
"137",36,"random",1,350
"138",37,"tft",1,248
"139",38,"defect",1,439
"140",39,"tft",1,245
"141",40,"tft",1,232
"142",41,"random",1,350
"143",42,"tft",1,259
"144",43,"defect",1,464
"145",44,"random",1,354
"146",45,"tft",1,278
"147",46,"coop",1,248
"148",47,"coop",1,243
"149",48,"defect",1,445
"150",49,"tft",1,254
"151",50,"defect",1,451
"152",51,"coop",1,319
"153",52,"defect",1,449
"154",53,"defect",1,440
"155",54,"coop",1,251
"156",55,"tft",1,248
"157",56,"tft",1,255
"158",57,"random",1,376
"159",58,"coop",1,264
"160",59,"tft",1,239
"161",60,"defect",1,445
"162",61,"random",1,328
"163",62,"random",1,405
"164",63,"coop",1,242
"165",64,"random",1,322
"166",65,"coop",1,275
"167",66,"tft",1,245
"168",67,"tft",1,263
"169",68,"random",1,363
"170",69,"tft",1,258
"171",70,"random",1,372
"172",71,"coop",1,243
"173",72,"random",1,354
"174",73,"coop",1,249
"175",74,"defect",1,455
"176",75,"random",1,368
"177",76,"random",1,345
"178",77,"random",1,342
"179",78,"random",1,322
"180",79,"random",1,371
"181",80,"defect",1,451
"182",81,"coop",1,281
"183",82,"defect",1,505
"184",83,"coop",1,236
"185",84,"coop",1,258
"186",85,"coop",1,249
"187",86,"random",1,368
"188",87,"defect",1,502
"189",88,"tft",1,243
"190",89,"tft",1,249
"191",90,"defect",1,464
"192",91,"defect",1,430
"193",92,"coop",1,249
"194",93,"defect",1,512
"195",94,"defect",1,472
"196",95,"coop",1,267
"197",96,"random",1,336
"198",97,"random",1,352
"199",98,"random",1,347
"200",99,"random",1,361
"201",0,"tft",2,302
"202",1,"tft",2,313
"203",2,"defect",2,809
"204",3,"tft",2,325
"205",4,"defect",2,958
"206",5,"coop",2,319
"207",6,"defect",2,648
"208",7,"coop",2,292
"209",8,"tft",2,315
"210",9,"defect",2,715
"211",10,"coop",2,276
"212",11,"defect",2,677
"213",12,"random",2,672
"214",13,"random",2,539
"215",14,"tft",2,303
"216",15,"tft",2,429
"217",16,"coop",2,286
"218",17,"random",2,563
"219",18,"coop",2,279
"220",19,"defect",2,792
"221",20,"tft",2,332
"222",21,"random",2,637
"223",22,"random",2,507
"224",23,"defect",2,702
"225",24,"tft",2,348
"226",25,"tft",2,341
"227",26,"tft",2,308
"228",27,"tft",2,311
"229",28,"random",2,404
"230",29,"tft",2,314
"231",30,"random",2,617
"232",31,"random",2,547
"233",32,"random",2,546
"234",33,"defect",2,773
"235",34,"coop",2,281
"236",35,"defect",2,704
"237",36,"random",2,550
"238",37,"tft",2,298
"239",38,"defect",2,691
"240",39,"tft",2,311
"241",40,"tft",2,312
"242",41,"random",2,550
"243",42,"tft",2,323
"244",43,"defect",2,710
"245",44,"random",2,560
"246",45,"tft",2,342
"247",46,"coop",2,256
"248",47,"coop",2,275
"249",48,"defect",2,707
"250",49,"tft",2,348
"251",50,"defect",2,713
"252",51,"coop",2,347
"253",52,"defect",2,703
"254",53,"defect",2,682
"255",54,"coop",2,283
"256",55,"tft",2,334
"257",56,"tft",2,305
"258",57,"random",2,528
"259",58,"coop",2,296
"260",59,"tft",2,311
"261",60,"defect",2,693
"262",61,"random",2,510
"263",62,"random",2,581
"264",63,"coop",2,278
"265",64,"random",2,480
"266",65,"coop",2,291
"267",66,"tft",2,301
"268",67,"tft",2,335
"269",68,"random",2,549
"270",69,"tft",2,322
"271",70,"random",2,562
"272",71,"coop",2,283
"273",72,"random",2,568
"274",73,"coop",2,293
"275",74,"defect",2,699
"276",75,"random",2,554
"277",76,"random",2,535
