id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
59,coop,7,247,263,283,299,311,311,311,311,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
60,tft,7,255,311,337,349,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
61,coop,5,253,281,301,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
62,random,6,332,518,672,814,904,1000,1094,1202,1290,1380,1486,1612,1690,1784,1856,1948,2028,2108,2210,2282,2372,2460,2552,2632,2714
63,coop,10,226,278,294,306,314,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318
64,tft,8,260,342,368,400,414,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422
65,defect,6,456,702,904,1086,1244,1378,1526,1660,1792,1912,2040,2158,2276,2396,2516,2634,2760,2886,2994,3130,3236,3350,3470,3580,3686
66,coop,19,271,299,315,319,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
67,tft,10,262,342,382,404,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
68,tft,4,248,316,352,376,382,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
69,defect,3,445,677,849,1011,1161,1319,1471,1607,1737,1867,2005,2129,2269,2409,2541,2653,2773,2905,3031,3165,3291,3405,3529,3655,3781
70,random,13,365,559,735,847,959,1063,1165,1261,1369,1473,1557,1653,1741,1825,1911,2003,2097,2189,2277,2381,2451,2523,2625,2727,2817
71,coop,6,234,254,270,282,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
72,tft,9,237,305,337,351,361,367,377,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
73,defect,9,451,729,955,1115,1285,1423,1567,1703,1833,1975,2137,2271,2409,2545,2669,2801,2937,3059,3169,3285,3389,3509,3619,3729,3859
74,random,10,360,534,680,788,908,986,1098,1214,1320,1430,1506,1606,1668,1756,1848,1942,2032,2118,2198,2290,2366,2444,2514,2590,2628
75,random,7,361,559,715,849,969,1067,1171,1271,1385,1479,1583,1683,1775,1861,1943,2043,2135,2213,2303,2377,2463,2569,2663,2743,2813
76,random,4,350,554,692,824,922,1014,1120,1240,1326,1424,1546,1634,1740,1838,1926,2008,2108,2236,2330,2418,2522,2612,2702,2800,2866
77,coop,10,262,294,302,306,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
78,random,8,334,512,690,794,900,1016,1124,1224,1316,1410,1520,1612,1686,1770,1876,1968,2058,2150,2244,2338,2428,2546,2626,2708,2788
79,tft,3,235,299,325,341,349,353,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
