id,strategies,round,assets
0,coop,0,1
1,tft,0,1
2,random,0,1
3,random,0,1
4,tft,0,5
5,tft,0,32
6,coop,0,34
7,coop,0,4
8,tft,0,1
9,coop,0,40
10,random,0,33
11,tft,0,8
12,tft,0,2
13,tft,0,0
14,coop,0,14
15,coop,0,10
16,tft,0,119
17,random,0,16
18,coop,0,0
19,coop,0,0
20,coop,0,4
21,tft,0,3004
22,coop,0,69
23,tft,0,10
24,coop,0,25
25,coop,0,51
26,tft,0,0
27,random,0,9
28,defect,0,239
29,random,0,0
30,coop,0,0
31,tft,0,13
32,tft,0,142
33,random,0,5
34,random,0,5
35,tft,0,0
36,random,0,6
37,defect,0,5
38,defect,0,4
39,defect,0,2
40,coop,0,0
41,random,0,0
42,random,0,11
43,tft,0,1
44,random,0,1
45,random,0,9
46,tft,0,60
47,random,0,23
48,tft,0,1
49,coop,0,0
50,coop,0,11
51,random,0,1
52,random,0,3
53,coop,0,136
54,tft,0,7
55,coop,0,0
56,coop,0,1
57,coop,0,4
58,coop,0,5
59,random,0,4
60,random,0,82
61,coop,0,3
62,tft,0,0
63,tft,0,16
64,tft,0,0
65,tft,0,359
66,tft,0,2
67,tft,0,7
68,tft,0,1
69,defect,0,67
70,tft,0,37
71,random,0,1
72,defect,0,0
73,tft,0,129
74,coop,0,10
75,random,0,22
76,tft,0,3
77,coop,0,6
78,random,0,294
79,tft,0,113
80,random,0,0
81,random,0,2
82,random,0,0
83,coop,0,0
84,coop,0,1
85,random,0,2
86,tft,0,4
87,tft,0,0
88,coop,0,1
89,defect,0,14
90,tft,0,0
91,coop,0,29
92,tft,0,757
93,random,0,27
94,tft,0,0
95,tft,0,119
96,tft,0,3
97,random,0,61
98,random,0,0
99,coop,0,0
0,coop,1,301
1,tft,1,301
2,random,1,405
3,random,1,405
4,tft,1,309
5,tft,1,340
6,coop,1,354
7,coop,1,312
8,tft,1,333
9,coop,1,344
10,random,1,437
11,tft,1,320
12,tft,1,310
13,tft,1,296
14,coop,1,322
15,coop,1,334
16,tft,1,411
17,random,1,438
18,coop,1,308
19,coop,1,300
20,coop,1,316
21,tft,1,3316
22,coop,1,373
23,tft,1,338
24,coop,1,325
25,coop,1,359
26,tft,1,336
27,random,1,451
28,defect,1,761
29,random,1,428
30,coop,1,316
31,tft,1,329
32,tft,1,454
33,random,1,415
34,random,1,407
35,tft,1,324
36,random,1,436
37,defect,1,503
38,defect,1,498
39,defect,1,504
40,coop,1,300
41,random,1,424
42,random,1,431
43,tft,1,309
44,random,1,383
45,random,1,407
46,tft,1,368
47,random,1,447
48,tft,1,317
49,coop,1,316
50,coop,1,343
51,random,1,403
52,random,1,415
53,coop,1,452
54,tft,1,311
55,coop,1,316
56,coop,1,333
57,coop,1,320
58,coop,1,309
59,random,1,414
60,random,1,508
61,coop,1,319
62,tft,1,296
63,tft,1,324
64,tft,1,304
65,tft,1,679
66,tft,1,306
67,tft,1,307
68,tft,1,317
69,defect,1,585
70,tft,1,349
71,random,1,409
72,defect,1,530
73,tft,1,437
74,coop,1,334
75,random,1,434
76,tft,1,331
77,coop,1,302
78,random,1,726
79,tft,1,425
80,random,1,420
81,random,1,400
82,random,1,408
83,coop,1,304
84,coop,1,317
85,random,1,412
86,tft,1,328
87,tft,1,320
88,coop,1,309
89,defect,1,536
90,tft,1,312
91,coop,1,345
92,tft,1,1065
93,random,1,449
94,tft,1,320
95,tft,1,419
96,tft,1,311
97,random,1,467
98,random,1,410
99,coop,1,308
0,coop,2,341
1,tft,2,337
2,random,2,611
3,random,2,579
4,tft,2,363
5,tft,2,384
6,coop,2,370
7,coop,2,332
8,tft,2,389
9,coop,2,388
10,random,2,669
11,tft,2,372
12,tft,2,338
13,tft,2,360
14,coop,2,350
15,coop,2,358
16,tft,2,457
17,random,2,656
18,coop,2,360
19,coop,2,324
20,coop,2,324
21,tft,2,3368
22,coop,2,389
23,tft,2,386
24,coop,2,365
25,coop,2,387
26,tft,2,390
27,random,2,719
28,defect,2,993
29,random,2,612
30,coop,2,356
31,tft,2,395
32,tft,2,494
33,random,2,655
34,random,2,627
35,tft,2,382
36,random,2,662
37,defect,2,743
38,defect,2,756
39,defect,2,736
40,coop,2,312
41,random,2,646
42,random,2,677
