id,strategies,round,assets
0,coop,0,111
1,coop,0,2
2,coop,0,0
3,tft,0,1
4,random,0,0
5,coop,0,5
6,coop,0,17
7,tft,0,559
8,random,0,72
9,defect,0,5
10,coop,0,0
11,tft,0,9
12,tft,0,54
13,defect,0,35
14,coop,0,11
15,coop,0,14
16,defect,0,7
17,defect,0,31
18,tft,0,30
19,random,0,51
20,random,0,1
21,tft,0,99
22,tft,0,1513
23,coop,0,10
24,random,0,102
25,tft,0,8
26,coop,0,18
27,random,0,4
28,tft,0,18
29,tft,0,1
30,tft,0,2
31,tft,0,0
32,coop,0,43
33,random,0,0
34,coop,0,99
35,random,0,73
36,coop,0,0
37,coop,0,2
38,tft,0,2
39,random,0,2
40,tft,0,0
41,coop,0,16
42,coop,0,193
43,coop,0,6
44,coop,0,0
45,random,0,5
46,coop,0,1
47,defect,0,693
48,coop,0,41
49,random,0,29
50,tft,0,118
51,defect,0,10
52,tft,0,9
53,tft,0,1
54,random,0,6
55,tft,0,1
56,tft,0,0
57,tft,0,52
58,tft,0,84
59,coop,0,4
60,coop,0,235
61,tft,0,0
62,random,0,2
63,random,0,29
64,random,0,23
65,coop,0,0
66,tft,0,13
67,random,0,3
68,coop,0,434
69,coop,0,5
70,coop,0,16
71,defect,0,0
72,random,0,0
73,coop,0,21
74,coop,0,2
75,random,0,4
76,random,0,80
77,coop,0,2
78,coop,0,5
79,tft,0,0
80,tft,0,12
81,coop,0,24
82,coop,0,5127
83,tft,0,73
84,coop,0,4
85,random,0,792
86,tft,0,1
87,coop,0,0
88,coop,0,58
89,defect,0,149
90,coop,0,14
91,defect,0,1
92,tft,0,1
93,coop,0,1551
94,coop,0,87
95,coop,0,26
96,coop,0,31
97,coop,0,15
98,tft,0,6
99,defect,0,0
0,coop,1,431
1,coop,1,318
2,coop,1,320
3,tft,1,305
4,random,1,420
5,coop,1,325
6,coop,1,329
7,tft,1,871
8,random,1,482
9,defect,1,539
10,coop,1,304
11,tft,1,325
12,tft,1,374
13,defect,1,557
14,coop,1,319
15,coop,1,326
16,defect,1,545
17,defect,1,545
18,tft,1,330
19,random,1,465
20,random,1,443
21,tft,1,415
22,tft,1,1825
23,coop,1,330
24,random,1,534
25,tft,1,316
26,coop,1,330
27,random,1,414
28,tft,1,342
29,tft,1,297
30,tft,1,330
31,tft,1,308
32,coop,1,363
33,random,1,422
34,coop,1,415
35,random,1,513
36,coop,1,312
37,coop,1,326
38,tft,1,318
39,random,1,414
40,tft,1,312
41,coop,1,332
42,coop,1,485
43,coop,1,314
44,coop,1,316
45,random,1,413
46,coop,1,325
47,defect,1,1211
48,coop,1,353
49,random,1,427
50,tft,1,422
51,defect,1,536
52,tft,1,313
53,tft,1,325
54,random,1,430
55,tft,1,325
56,tft,1,328
57,tft,1,372
58,tft,1,408
59,coop,1,336
60,coop,1,555
61,tft,1,308
62,random,1,430
63,random,1,453
64,random,1,441
65,coop,1,324
66,tft,1,313
67,random,1,415
68,coop,1,734
69,coop,1,329
70,coop,1,340
71,defect,1,522
72,random,1,422
73,coop,1,349
74,coop,1,326
75,random,1,414
76,random,1,484
77,coop,1,322
78,coop,1,321
79,tft,1,308
80,tft,1,324
81,coop,1,336
82,coop,1,5447
83,tft,1,381
84,coop,1,324
85,random,1,1188
86,tft,1,321
87,coop,1,312
88,coop,1,366
89,defect,1,659
90,coop,1,326
91,defect,1,515
92,tft,1,317
93,coop,1,1859
94,coop,1,415
95,coop,1,334
96,coop,1,359
97,coop,1,327
98,tft,1,310
99,defect,1,530
0,coop,2,455
1,coop,2,350
2,coop,2,348
3,tft,2,355
4,random,2,648
5,coop,2,349
6,coop,2,345
7,tft,2,917
8,random,2,692
9,defect,2,795
10,coop,2,316
11,tft,2,357
12,tft,2,426
13,defect,2,839
14,coop,2,347
15,coop,2,338
16,defect,2,819
17,defect,2,827
18,tft,2,382
19,random,2,697
20,random,2,695
21,tft,2,455
22,tft,2,1851
23,coop,2,350
24,random,2,730
25,tft,2,370
26,coop,2,366
27,random,2,598
28,tft,2,386
29,tft,2,337
30,tft,2,376
31,tft,2,362
32,coop,2,391
33,random,2,606
34,coop,2,451
35,random,2,759
36,coop,2,344
37,coop,2,354
38,tft,2,356
39,random,2,628
40,tft,2,346
41,coop,2,372
42,coop,2,517
43,coop,2,338
44,coop,2,332
45,random,2,621
46,coop,2,333
47,defect,2,1463
48,coop,2,377
49,random,2,605
50,tft,2,470
51,defect,2,760
52,tft,2,373
53,tft,2,369
54,random,2,662
55,tft,2,369
56,tft,2,372
57,tft,2,432
58,tft,2,452
59,coop,2,348
60,coop,2,571
61,tft,2,336
62,random,2,640
63,random,2,691
64,random,2,659
65,coop,2,348
66,tft,2,347
67,random,2,637
68,coop,2,750
69,coop,2,357
70,coop,2,368
71,defect,2,794
72,random,2,658
73,coop,2,365
74,coop,2,342
75,random,2,618
76,random,2,624
77,coop,2,334
78,coop,2,333
79,tft,2,338
80,tft,2,374
81,coop,2,356
82,coop,2,5471
83,tft,2,419
84,coop,2,344
85,random,2,1402
86,tft,2,377
87,coop,2,340
88,coop,2,390
89,defect,2,911
90,coop,2,338
91,defect,2,737
92,tft,2,365
93,coop,2,1895
94,coop,2,435
95,coop,2,346
96,coop,2,379
97,coop,2,343
98,tft,2,346
99,defect,2,782
0,coop,3,467
1,coop,3,358
2,coop,3,368
3,tft,3,369
4,random,3,778
5,coop,3,349
6,coop,3,357
7,tft,3,933
8,random,3,832
9,defect,3,981
10,coop,3,320
11,tft,3,375
12,tft,3,436
13,defect,3,1015
14,coop,3,355
15,coop,3,346
16,defect,3,1005
17,defect,3,1005
18,tft,3,400
19,random,3,851
20,random,3,851
21,tft,3,471
22,tft,3,1871
23,coop,3,362
24,random,3,894
25,tft,3,402
26,coop,3,386
27,random,3,734
28,tft,3,414
29,tft,3,361
30,tft,3,396
31,tft,3,382
32,coop,3,403
33,random,3,720
34,coop,3,491
35,random,3,899
36,coop,3,356
37,coop,3,362
38,tft,3,380
39,random,3,750
40,tft,3,374
41,coop,3,392
42,coop,3,529
43,coop,3,358
44,coop,3,340
45,random,3,785
46,coop,3,337
47,defect,3,1655
48,coop,3,381
49,random,3,715
50,tft,3,490
51,defect,3,932
52,tft,3,397
53,tft,3,391
54,random,3,800
55,tft,3,397
56,tft,3,396
57,tft,3,458
58,tft,3,464
59,coop,3,352
60,coop,3,599
61,tft,3,348
62,random,3,764
63,random,3,831
64,random,3,805
65,coop,3,376
66,tft,3,361
67,random,3,733
68,coop,3,758
69,coop,3,369
70,coop,3,368
71,defect,3,976
72,random,3,832
73,coop,3,381
74,coop,3,350
75,random,3,756
76,random,3,736
77,coop,3,354
78,coop,3,341
79,tft,3,342
80,tft,3,402
81,coop,3,364
82,coop,3,5479
83,tft,3,435
84,coop,3,348
85,random,3,1544
86,tft,3,409
87,coop,3,352
88,coop,3,398
89,defect,3,1077
90,coop,3,358
91,defect,3,893
92,tft,3,379
93,coop,3,1899
94,coop,3,435
95,coop,3,354
96,coop,3,391
97,coop,3,355
98,tft,3,362
99,defect,3,926
0,coop,4,471
1,coop,4,366
2,coop,4,372
3,tft,4,377
4,random,4,864
5,coop,4,353
6,coop,4,369
7,tft,4,937
8,random,4,928
9,defect,4,1103
10,coop,4,328
11,tft,4,383
12,tft,4,442
13,defect,4,1153
14,coop,4,355
15,coop,4,350
16,defect,4,1133
17,defect,4,1153
18,tft,4,408
19,random,4,969
20,random,4,981
21,tft,4,479
22,tft,4,1875
23,coop,4,370
24,random,4,980
25,tft,4,414
26,coop,4,386
27,random,4,816
28,tft,4,436
29,tft,4,371
30,tft,4,402
31,tft,4,390
32,coop,4,407
33,random,4,814
34,coop,4,515
35,random,4,1003
36,coop,4,364
37,coop,4,366
38,tft,4,390
39,random,4,820
40,tft,4,390
41,coop,4,396
42,coop,4,533
43,coop,4,362
44,coop,4,348
45,random,4,899
46,coop,4,349
47,defect,4,1799
48,coop,4,381
49,random,4,803
50,tft,4,500
51,defect,4,1052
52,tft,4,401
53,tft,4,407
54,random,4,906
55,tft,4,415
56,tft,4,416
57,tft,4,472
