id,strategies,round,assets
0,tft,0,1
1,tft,0,8
2,tft,0,251
3,random,0,12
4,random,0,70
5,tft,0,10
6,random,0,22
7,random,0,5
8,tft,0,12
9,defect,0,174
10,random,0,1
11,tft,0,863
12,tft,0,0
13,tft,0,0
14,tft,0,174
15,tft,0,0
16,defect,0,31
17,random,0,0
18,tft,0,1
19,tft,0,45
20,tft,0,0
21,tft,0,39
22,defect,0,62
23,tft,0,8
24,coop,0,0
25,tft,0,12
26,tft,0,3
27,random,0,0
28,tft,0,1374
29,tft,0,5
30,tft,0,6
31,tft,0,1194
32,tft,0,1
33,coop,0,41
34,random,0,96
35,tft,0,7
36,defect,0,2
37,coop,0,12
38,random,0,2
39,defect,0,1
40,tft,0,6
41,tft,0,5
42,tft,0,15
43,tft,0,128
44,tft,0,3
45,tft,0,54
46,tft,0,5
47,tft,0,72
48,random,0,9
49,tft,0,11
50,tft,0,8
51,tft,0,128
52,tft,0,0
53,random,0,1
54,tft,0,4
55,random,0,90
56,defect,0,9
57,tft,0,28
58,random,0,0
59,tft,0,536
60,random,0,0
61,tft,0,325
62,random,0,87
63,tft,0,3
64,coop,0,4
65,random,0,6120
66,random,0,2
67,tft,0,3
68,random,0,3
69,tft,0,11
70,tft,0,63
71,defect,0,15
72,random,0,12
73,tft,0,4
74,coop,0,63
75,random,0,68
76,coop,0,0
77,tft,0,0
78,random,0,2
79,defect,0,226
80,tft,0,10
81,tft,0,1391
82,tft,0,64
83,random,0,9
84,defect,0,1
85,random,0,9
86,tft,0,240
87,random,0,1
88,random,0,29
89,coop,0,56
90,tft,0,39
91,tft,0,11
92,coop,0,3
93,tft,0,10
94,tft,0,48
95,tft,0,0
96,tft,0,36
97,coop,0,7
98,tft,0,6
99,tft,0,5
0,tft,1,293
1,tft,1,320
2,tft,1,563
3,random,1,398
4,random,1,506
5,tft,1,318
6,random,1,420
7,random,1,399
8,tft,1,320
9,defect,1,684
10,random,1,419
11,tft,1,1179
12,tft,1,292
13,tft,1,308
14,tft,1,490
15,tft,1,308
16,defect,1,541
17,random,1,400
18,tft,1,321
19,tft,1,365
20,tft,1,332
21,tft,1,347
22,defect,1,564
23,tft,1,328
24,coop,1,304
25,tft,1,336
26,tft,1,319
27,random,1,406
28,tft,1,1690
29,tft,1,301
30,tft,1,326
31,tft,1,1518
32,tft,1,309
33,coop,1,341
34,random,1,524
35,tft,1,323
36,defect,1,508
37,coop,1,308
38,random,1,418
39,defect,1,519
40,tft,1,310
41,tft,1,297
42,tft,1,331
43,tft,1,432
44,tft,1,307
45,tft,1,362
46,tft,1,317
47,tft,1,388
48,random,1,403
49,tft,1,303
50,tft,1,312
51,tft,1,444
52,tft,1,304
53,random,1,411
54,tft,1,316
55,random,1,516
56,defect,1,539
57,tft,1,336
58,random,1,408
59,tft,1,844
60,random,1,424
61,tft,1,633
62,random,1,497
63,tft,1,327
64,coop,1,328
65,random,1,6530
66,random,1,446
67,tft,1,283
68,random,1,405
69,tft,1,327
70,tft,1,395
71,defect,1,513
72,random,1,426
73,tft,1,308
74,coop,1,383
75,random,1,504
76,coop,1,316
77,tft,1,304
78,random,1,398
79,defect,1,740
80,tft,1,306
81,tft,1,1691
82,tft,1,376
83,random,1,427
84,defect,1,487
85,random,1,435
86,tft,1,560
87,random,1,405
88,random,1,419
89,coop,1,380
90,tft,1,343
91,tft,1,327
92,coop,1,327
93,tft,1,310
94,tft,1,360
95,tft,1,316
96,tft,1,348
97,coop,1,327
98,tft,1,310
99,tft,1,317
0,tft,2,333
1,tft,2,356
2,tft,2,609
3,random,2,578
4,random,2,686
5,tft,2,362
6,random,2,588
7,random,2,587
8,tft,2,384
9,defect,2,884
10,random,2,639
11,tft,2,1219
12,tft,2,366
13,tft,2,374
14,tft,2,514
15,tft,2,362
16,defect,2,753
17,random,2,558
18,tft,2,371
19,tft,2,437
20,tft,2,368
21,tft,2,399
22,defect,2,802
23,tft,2,368
24,coop,2,316
25,tft,2,380
26,tft,2,369
27,random,2,566
28,tft,2,1728
29,tft,2,361
30,tft,2,364
31,tft,2,1548
32,tft,2,371
33,coop,2,377
34,random,2,694
35,tft,2,369
36,defect,2,682
37,coop,2,348
38,random,2,604
39,defect,2,695
40,tft,2,362
41,tft,2,335
42,tft,2,373
43,tft,2,488
44,tft,2,361
45,tft,2,414
46,tft,2,355
47,tft,2,450
48,random,2,609
49,tft,2,349
50,tft,2,336
51,tft,2,492
52,tft,2,356
53,random,2,607
54,tft,2,358
55,random,2,688
56,defect,2,721
57,tft,2,366
58,random,2,572
59,tft,2,882
60,random,2,610
61,tft,2,669
62,random,2,723
63,tft,2,377
64,coop,2,368
65,random,2,6726
66,random,2,620
67,tft,2,341
68,random,2,591
69,tft,2,371
70,tft,2,445
71,defect,2,745
72,random,2,624
73,tft,2,352
74,coop,2,399
75,random,2,744
76,coop,2,344
77,tft,2,358
78,random,2,622
79,defect,2,954
80,tft,2,332
81,tft,2,1727
82,tft,2,428
83,random,2,605
84,defect,2,677
85,random,2,639
86,tft,2,614
87,random,2,615
88,random,2,569
89,coop,2,388
90,tft,2,393
91,tft,2,381
92,coop,2,371
93,tft,2,364
94,tft,2,418
95,tft,2,370
96,tft,2,400
97,coop,2,359
98,tft,2,368
99,tft,2,363
0,tft,3,351
1,tft,3,392
2,tft,3,635
3,random,3,708
4,random,3,792
5,tft,3,388
6,random,3,706
7,random,3,737
8,tft,3,398
9,defect,3,1052
10,random,3,769
11,tft,3,1235
12,tft,3,384
13,tft,3,398
14,tft,3,536
15,tft,3,376
16,defect,3,929
17,random,3,668
18,tft,3,401
19,tft,3,473
20,tft,3,392
21,tft,3,437
22,defect,3,1002
23,tft,3,400
24,coop,3,316
25,tft,3,390
26,tft,3,387
27,random,3,660
28,tft,3,1742
29,tft,3,371
30,tft,3,382
31,tft,3,1566
32,tft,3,393
33,coop,3,389
34,random,3,818
35,tft,3,395
36,defect,3,840
37,coop,3,368
38,random,3,714
39,defect,3,845
40,tft,3,386
41,tft,3,343
42,tft,3,401
43,tft,3,514
44,tft,3,389
45,tft,3,428
46,tft,3,377
47,tft,3,472
48,random,3,749
49,tft,3,365
50,tft,3,358
51,tft,3,518
52,tft,3,378
53,random,3,751
54,tft,3,380
55,random,3,824
56,defect,3,873
57,tft,3,388
58,random,3,680
59,tft,3,898
60,random,3,768
61,tft,3,687
62,random,3,869
63,tft,3,403
64,coop,3,400
65,random,3,6876
66,random,3,722
67,tft,3,369
68,random,3,751
69,tft,3,381
70,tft,3,455
71,defect,3,907
72,random,3,772
73,tft,3,372
74,coop,3,411
75,random,3,878
76,coop,3,352
77,tft,3,370
78,random,3,788
79,defect,3,1130
80,tft,3,342
81,tft,3,1759
82,tft,3,454
83,random,3,725
84,defect,3,811
85,random,3,749
86,tft,3,626
87,random,3,723
88,random,3,677
89,coop,3,392
90,tft,3,415
91,tft,3,399
92,coop,3,391
93,tft,3,394
94,tft,3,442
95,tft,3,382
96,tft,3,442
97,coop,3,371
98,tft,3,394
99,tft,3,387
0,tft,4,357
1,tft,4,408
2,tft,4,637
3,random,4,826
4,random,4,902
5,tft,4,402
6,random,4,804
7,random,4,847
8,tft,4,416
9,defect,4,1186
10,random,4,877
11,tft,4,1243
12,tft,4,394
13,tft,4,406
14,tft,4,548
15,tft,4,382
16,defect,4,1069
17,random,4,758
18,tft,4,411
19,tft,4,501
20,tft,4,404
21,tft,4,455
22,defect,4,1154
23,tft,4,416
24,coop,4,316
25,tft,4,400
26,tft,4,393
27,random,4,770
28,tft,4,1764
29,tft,4,387
30,tft,4,390
31,tft,4,1572
