id,strategies,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25
42,coop,13,329,361,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
43,tft,11,307,357,373,401,413,421,427,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
44,tft,14,314,370,382,392,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
45,coop,9,301,321,325,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
46,tft,3,299,341,365,371,379,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
47,tft,5,301,349,373,379,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
48,tft,5,297,347,367,381,383,385,391,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
49,tft,5,293,359,395,405,411,413,415,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
50,tft,5,301,347,361,365,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
51,random,5,425,589,723,835,915,1011,1089,1173,1241,1325,1387,1439,1525,1587,1657,1725,1783,1849,1909,1983,2045,2097,2151,2209,2253
52,random,6,412,572,710,798,880,956,1020,1082,1136,1178,1252,1300,1362,1422,1468,1524,1596,1662,1708,1772,1818,1860,1906,1960,2012
53,tft,6,306,376,396,402,414,416,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
54,tft,6,294,350,374,382,388,392,396,398,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
55,random,9,405,587,729,855,943,1013,1103,1161,1225,1287,1351,1423,1495,1563,1625,1713,1785,1853,1917,1987,2049,2129,2195,2255,2305
56,tft,12,308,340,356,360,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
57,tft,9,309,381,413,423,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
58,coop,6,314,334,346,346,350,354,354,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
59,defect,6,520,712,882,1024,1132,1246,1336,1430,1528,1630,1726,1810,1906,2018,2118,2208,2318,2408,2488,2572,2660,2744,2848,2944,3036
60,random,8,394,570,686,784,882,954,1028,1102,1164,1230,1292,1368,1432,1512,1572,1650,1726,1782,1860,1940,2004,2078,2134,2214,2288
61,tft,3,307,363,379,391,403,413,417,425,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
62,random,2,394,548,682,806,934,1034,1128,1202,1274,1342,1406,1470,1536,1612,1684,1762,1842,1900,1968,2038,2102,2152,2210,2270,2356
63,random,3,401,575,699,791,873,949,1009,1069,1125,1171,1241,1315,1367,1427,1505,1575,1631,1691,1759,1809,1857,1915,1977,2043,2101
64,defect,4,514,710,842,976,1094,1198,1296,1386,1486,1576,1670,1766,1878,1978,2070,2138,2234,2324,2426,2526,2618,2710,2792,2870,2944
65,tft,9,301,351,367,379,383,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
66,defect,6,508,698,856,984,1100,1192,1304,1410,1510,1598,1700,1798,1892,1984,2068,2164,2252,2348,2424,2516,2600,2688,2776,2860,2944
67,random,4,424,590,716,816,910,994,1058,1150,1206,1282,1368,1430,1508,1578,1630,1686,1750,1804,1866,1920,1978,2020,2070,2128,2196
68,tft,10,330,384,406,416,420,426,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
69,tft,14,326,380,402,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
70,random,6,414,596,688,794,866,932,1004,1084,1166,1228,1292,1378,1460,1534,1614,1676,1754,1818,1874,1932,1986,2040,2108,2170,2242
71,tft,11,311,345,353,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
72,tft,10,294,320,338,346,352,356,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
73,random,10,406,624,764,850,942,1014,1088,1164,1236,1302,1378,1434,1486,1550,1622,1676,1726,1798,1848,1898,1960,2010,2068,2120,2168
74,tft,7,299,353,365,371,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
75,tft,18,326,366,388,410,422,426,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
76,coop,21,345,373,381,381,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
77,tft,9,329,373,393,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
78,tft,12,320,366,388,402,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406
79,random,5,421,613,723,823,905,993,1065,1141,1239,1327,1395,1463,1527,1585,1649,1699,1751,1821,1889,1955,2019,2099,2153,2219,2305
80,random,11,411,567,671,749,855,921,993,1063,1131,1207,1271,1347,1399,1479,1537,1585,1647,1717,1781,1833,1899,1965,2015,2053,2107
81,tft,13,309,335,353,363,375,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
82,tft,7,311,363,387,405,415,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
83,random,5,405,609,727,817,897,953,1037,1121,1189,1271,1333,1419,1497,1571,1635,1687,1737,1809,1885,1947,2001,2061,2123,2169,2233
84,defect,11,513,703,873,1015,1147,1269,1381,1487,1603,1711,1807,1905,1995,2089,2179,2257,2359,2443,2527,2627,2701,2767,2853,2931,3015
85,coop,8,304,328,340,352,352,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
86,tft,6,290,346,370,380,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
87,tft,9,325,357,385,397,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
88,coop,6,322,342,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
89,coop,11,307,319,323,323,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
90,tft,21,325,381,413,425,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
91,tft,7,315,361,379,383,391,397,403,405,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411
92,tft,7,315,365,387,397,401,403,405,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
93,coop,9,297,321,329,337,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341
94,defect,4,498,680,834,950,1062,1198,1296,1422,1532,1640,1744,1834,1936,2028,2114,2224,2340,2440,2520,2608,2712,2798,2878,2962,3054
95,tft,10,298,358,378,380,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
96,random,9,411,575,713,811,917,1001,1085,1167,1221,1295,1365,1429,1499,1573,1635,1689,1741,1793,1857,1905,1967,2033,2099,2161,2215
97,defect,2,512,726,904,1066,1202,1316,1434,1560,1650,1784,1882,1988,2088,2176,2286,2396,2492,2604,2712,2816,2928,3030,3118,3206,3298
98,tft,22,314,364,388,400,410,416,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
99,random,12,408,558,692,796,888,980,1062,1128,1216,1296,1350,1428,1518,1582,1650,1730,1816,1880,1946,1996,2050,2114,2178,2232,2294
